closed_by,assigned_to,opened_at,caller_id,sys_updated_by,number,sys_updated_on,closed_at,state,short_description,assignment_group,priority,category
Charlie Whitherspoon,Luke Wilson,2023-02-09 08:46:00,David Loo,employee,INC0000000047,2023-02-11 00:18:36.548028868,2023-02-11 00:18:36.548028868,Resolved,Email server outage reported by multiple users,Network,1 - Critical,Network
Howard Johnson,Charlie Whitherspoon,2023-02-09 10:20:00,David Loo,employee,INC0000000048,2023-02-11 02:03:47.952524798,2023-02-11 02:03:47.952524798,Resolved,Email server response is slow,Service Desk,2 - High,Network
Fred Luddy,Howard Johnson,2023-02-09 15:51:00,David Loo,admin,INC0000000049,2023-02-15 09:49:16.543652186,2023-02-15 09:49:16.543652186,Resolved,Email system connectivity issue,Network,2 - High,Network
Charlie Whitherspoon,Beth Anglin,2023-02-10 03:47:00,ITIL User,employee,INC0000000050,2023-02-19 03:58:01.540952757,2023-02-19 03:58:01.540952757,Resolved,Email server response time is slow,Network,2 - High,Network
Fred Luddy,Luke Wilson,2023-02-10 07:40:00,Bud Richman,system,INC0000000051,2023-02-16 09:12:50.611209373,2023-02-16 09:12:50.611209373,Resolved,Email server outage affecting all departments,Network,1 - Critical,Network
Luke Wilson,Beth Anglin,2023-02-11 09:49:00,Don Goodliffe,system,INC0000000052,2023-02-19 12:39:23.316208694,2023-02-19 12:39:23.316208694,Resolved,Email client not syncing with server,Service Desk,3 - Moderate,Software
Howard Johnson,Fred Luddy,2023-02-13 17:23:00,Bud Richman,system,INC0000000053,2023-02-20 20:42:57.915541251,2023-02-20 20:42:57.915541251,Closed,Email server outage impacting all users,Network,1 - Critical,Network
Howard Johnson,Luke Wilson,2023-02-14 03:56:00,Don Goodliffe,employee,INC0000000054,2023-02-10 10:31:08.269099976,2023-02-10 10:31:08.269099976,Closed,Email server outage affecting all departments,Network,1 - Critical,Network
Beth Anglin,Howard Johnson,2023-02-14 06:38:00,David Loo,admin,INC0000000055,2023-02-14 14:32:55.123231759,2023-02-14 14:32:55.123231759,Resolved,Email system slow and unresponsive,Service Desk,2 - High,Software
Charlie Whitherspoon,Beth Anglin,2023-02-15 09:50:00,Bud Richman,system,INC0000000056,2023-02-17 10:09:54.433080805,2023-02-17 10:09:54.433080805,Resolved,Email server downtime reported,Network,1 - Critical,Network
Luke Wilson,Beth Anglin,2023-02-15 12:10:00,Bud Richman,admin,INC0000000057,2023-02-15 13:56:45.968795941,2023-02-15 13:56:45.968795941,Resolved,Cannot access email from office network,Network,2 - High,Network
Beth Anglin,Beth Anglin,2023-02-19 19:03:00,David Loo,admin,INC0000000058,2023-02-27 11:26:39.515032458,2023-02-27 11:26:39.515032458,Resolved,"Email system down, users cannot send or receive messages",Network,1 - Critical,Network
Fred Luddy,Howard Johnson,2023-02-21 05:05:00,ITIL User,system,INC0000000059,2023-03-01 23:52:50.503677513,2023-03-01 23:52:50.503677513,Closed,Email system downtime reported by several users,Service Desk,2 - High,Software
Luke Wilson,Luke Wilson,2023-02-21 08:03:00,Don Goodliffe,admin,INC0000000060,2023-02-26 20:08:55.181429167,2023-02-26 20:08:55.181429167,Resolved,Email system slow and unresponsive,Service Desk,2 - High,Software
Luke Wilson,Howard Johnson,2023-02-21 17:27:00,Don Goodliffe,system,INC0000000061,2023-03-02 14:45:01.451136550,2023-03-02 14:45:01.451136550,Resolved,Server outage affecting multiple services,Network,1 - Critical,Network
Luke Wilson,Luke Wilson,2023-02-21 20:44:00,ITIL User,admin,INC0000000062,2023-03-04 16:34:49.333260558,2023-03-04 16:34:49.333260558,Closed,Email system down since morning,Service Desk,1 - Critical,Network
Fred Luddy,Luke Wilson,2023-02-22 10:32:00,ITIL User,employee,INC0000000063,2023-02-27 14:08:00.110388259,2023-02-27 14:08:00.110388259,Closed,Email system outage reported by several users,Service Desk,2 - High,Software
Howard Johnson,Charlie Whitherspoon,2023-02-23 16:16:00,ITIL User,system,INC0000000064,2023-03-02 02:53:58.715808492,2023-03-02 02:53:58.715808492,Resolved,Email system response time is slow,Service Desk,2 - High,Network
Charlie Whitherspoon,Howard Johnson,2023-02-25 00:02:00,ITIL User,employee,INC0000000065,2023-03-07 07:23:14.598534910,2023-03-07 07:23:14.598534910,Resolved,Email system response delays causing workflow disruption,Service Desk,2 - High,Software
Fred Luddy,Howard Johnson,2023-02-25 08:21:00,David Loo,employee,INC0000000066,2023-03-01 23:59:30.397681548,2023-03-01 23:59:30.397681548,Resolved,Email service disruption reported,Service Desk,2 - High,Network
Howard Johnson,Fred Luddy,2023-02-27 15:15:00,ITIL User,employee,INC0000000067,2023-02-26 17:29:06.799773540,2023-02-26 17:29:06.799773540,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Software
Charlie Whitherspoon,Beth Anglin,2023-03-01 18:03:00,Bud Richman,admin,INC0000000068,2023-02-26 06:18:02.078932880,2023-02-26 06:18:02.078932880,Closed,Email system outage affecting entire floor,Service Desk,1 - Critical,Network
Howard Johnson,Luke Wilson,2023-03-01 20:23:00,Don Goodliffe,system,INC0000000069,2023-03-06 05:33:16.350850925,2023-03-06 05:33:16.350850925,Closed,Email system down for multiple users,Service Desk,1 - Critical,Network
Fred Luddy,Luke Wilson,2023-03-03 02:42:00,ITIL User,admin,INC0000000070,2023-03-18 19:05:53.159006528,2023-03-18 19:05:53.159006528,Closed,Email system not responding,Service Desk,2 - High,Software
Beth Anglin,Beth Anglin,2023-03-03 14:04:00,Bud Richman,employee,INC0000000071,2023-03-08 00:15:38.975635243,2023-03-08 00:15:38.975635243,Closed,Email system is running slow,Service Desk,3 - Moderate,Software
Beth Anglin,Fred Luddy,2023-03-04 02:06:00,Don Goodliffe,employee,INC0000000072,2023-03-11 10:17:07.758605088,2023-03-11 10:17:07.758605088,Resolved,Email system response delays impacting work,Service Desk,2 - High,Software
Howard Johnson,Howard Johnson,2023-03-04 22:45:00,ITIL User,admin,INC0000000073,2023-03-03 06:31:17.561489984,2023-03-03 06:31:17.561489984,Closed,Email system latency issues reported by multiple users,Service Desk,2 - High,Software
Charlie Whitherspoon,Fred Luddy,2023-03-04 23:07:00,David Loo,system,INC0000000074,2023-03-17 13:13:31.065427911,2023-03-17 13:13:31.065427911,Resolved,Email server latency issues,Network,2 - High,Network
Howard Johnson,Fred Luddy,2023-03-05 18:11:00,Bud Richman,employee,INC0000000075,2023-03-13 17:29:48.026615635,2023-03-13 17:29:48.026615635,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Beth Anglin,Fred Luddy,2023-03-06 20:07:00,David Loo,system,INC0000000076,2023-03-12 23:52:51.172340288,2023-03-12 23:52:51.172340288,Closed,Email system downtime reported,Service Desk,1 - Critical,Network
Howard Johnson,Luke Wilson,2023-03-07 22:54:00,ITIL User,admin,INC0000000077,2023-03-17 07:13:21.026809051,2023-03-17 07:13:21.026809051,Closed,Cannot connect to wifi network,Network,2 - High,Network
Howard Johnson,Fred Luddy,2023-03-08 16:39:00,Bud Richman,admin,INC0000000078,2023-02-28 07:14:35.830528750,2023-02-28 07:14:35.830528750,Resolved,Email server downtime,Service Desk,1 - Critical,Network
Luke Wilson,Fred Luddy,2023-03-09 01:04:00,David Loo,system,INC0000000079,2023-03-04 01:20:39.047488762,2023-03-04 01:20:39.047488762,Resolved,Email system down since morning,Service Desk,1 - Critical,Network
Beth Anglin,Charlie Whitherspoon,2023-03-09 14:35:00,Don Goodliffe,admin,INC0000000080,2023-03-15 15:37:57.499057057,2023-03-15 15:37:57.499057057,Closed,Email system latency issues affecting customer service response times,Service Desk,2 - High,Software
Howard Johnson,Luke Wilson,2023-03-10 11:54:00,Don Goodliffe,admin,INC0000000081,2023-03-14 15:20:25.075444731,2023-03-14 15:20:25.075444731,Resolved,Email system lagging during peak hours,Service Desk,2 - High,Software
Luke Wilson,Howard Johnson,2023-03-10 20:09:00,David Loo,system,INC0000000082,2023-03-04 06:43:29.382833908,2023-03-04 06:43:29.382833908,Resolved,Email system running slowly,Service Desk,2 - High,Software
Howard Johnson,Howard Johnson,2023-03-10 22:27:00,ITIL User,system,INC0000000083,2023-03-23 06:51:11.932654977,2023-03-23 06:51:11.932654977,Closed,Email system downtime reported by multiple users,Service Desk,1 - Critical,Software
Beth Anglin,Beth Anglin,2023-03-11 04:30:00,David Loo,admin,INC0000000084,2023-03-20 00:02:37.308905791,2023-03-20 00:02:37.308905791,Resolved,Email system downtime reported by several users,Service Desk,2 - High,Software
Charlie Whitherspoon,Fred Luddy,2023-03-11 17:13:00,Don Goodliffe,employee,INC0000000085,2023-03-23 10:21:16.448268375,2023-03-23 10:21:16.448268375,Closed,Email system downtime affecting multiple users,Service Desk,1 - Critical,Software
Beth Anglin,Howard Johnson,2023-03-12 05:13:00,Don Goodliffe,admin,INC0000000086,2023-03-13 08:15:40.908696186,2023-03-13 08:15:40.908696186,Closed,My laptop is broken,Hardware,2 - High,Hardware
Howard Johnson,Charlie Whitherspoon,2023-03-12 19:53:00,David Loo,system,INC0000000087,2023-03-12 14:54:28.871097460,2023-03-12 14:54:28.871097460,Resolved,Email service downtime reported by several users,Service Desk,2 - High,Network
Howard Johnson,Howard Johnson,2023-03-12 20:09:00,David Loo,employee,INC0000000088,2023-03-14 23:54:44.709115867,2023-03-14 23:54:44.709115867,Closed,Email system outage reported by several users,Service Desk,1 - Critical,Network
Fred Luddy,Charlie Whitherspoon,2023-03-12 21:11:00,Don Goodliffe,system,INC0000000089,2023-03-20 20:56:33.948730363,2023-03-20 20:56:33.948730363,Resolved,Email server response delay,Network,2 - High,Network
Fred Luddy,Fred Luddy,2023-03-14 03:47:00,Don Goodliffe,system,INC0000000090,2023-03-15 06:03:52.823492522,2023-03-15 06:03:52.823492522,Resolved,Intermittent network outage in building 12,Network,2 - High,Network
Howard Johnson,Beth Anglin,2023-03-16 19:27:00,Don Goodliffe,admin,INC0000000091,2023-03-29 12:07:42.994349025,2023-03-29 12:07:42.994349025,Resolved,Email system outage reported by user,Service Desk,1 - Critical,Software
Charlie Whitherspoon,Charlie Whitherspoon,2023-03-16 20:13:00,ITIL User,system,INC0000000092,2023-03-24 14:49:20.041987555,2023-03-24 14:49:20.041987555,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Hardware
Charlie Whitherspoon,Fred Luddy,2023-03-17 09:30:00,ITIL User,employee,INC0000000093,2023-03-15 21:16:55.161252998,2023-03-15 21:16:55.161252998,Closed,Email client keeps crashing randomly,Software,2 - High,Software
Charlie Whitherspoon,Luke Wilson,2023-03-17 15:59:00,David Loo,admin,INC0000000094,2023-03-19 10:46:12.934931055,2023-03-19 10:46:12.934931055,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Software
Charlie Whitherspoon,Charlie Whitherspoon,2023-03-18 06:27:00,David Loo,admin,INC0000000095,2023-03-22 16:28:24.110350664,2023-03-22 16:28:24.110350664,Closed,Email system downtime reported by multiple users,Service Desk,1 - Critical,Software
Luke Wilson,Howard Johnson,2023-03-19 08:17:00,Don Goodliffe,admin,INC0000000096,2023-03-24 15:09:12.266022022,2023-03-24 15:09:12.266022022,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Fred Luddy,Charlie Whitherspoon,2023-03-19 21:18:00,Bud Richman,employee,INC0000000097,2023-03-20 19:49:36.431778660,2023-03-20 19:49:36.431778660,Closed,Email system down affecting entire department,Service Desk,1 - Critical,Network
Luke Wilson,Charlie Whitherspoon,2023-03-20 11:29:00,ITIL User,system,INC0000000098,2023-03-19 13:52:53.756565114,2023-03-19 13:52:53.756565114,Resolved,Email system down for multiple users,Service Desk,1 - Critical,Network
Charlie Whitherspoon,Charlie Whitherspoon,2023-03-21 00:28:00,Bud Richman,admin,INC0000000099,2023-03-29 02:47:24.708299441,2023-03-29 02:47:24.708299441,Closed,Email system outage reported,Service Desk,1 - Critical,Network
Luke Wilson,Howard Johnson,2023-03-21 02:28:00,Bud Richman,employee,INC0000000100,2023-03-20 03:59:19.737584263,2023-03-20 03:59:19.737584263,Resolved,Email system downtime affecting entire office,Service Desk,1 - Critical,Software
Fred Luddy,Charlie Whitherspoon,2023-03-23 04:34:00,Don Goodliffe,admin,INC0000000101,2023-04-04 21:16:35.850695955,2023-04-04 21:16:35.850695955,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Charlie Whitherspoon,Howard Johnson,2023-03-24 12:50:00,David Loo,admin,INC0000000102,2023-04-03 17:34:28.458591728,2023-04-03 17:34:28.458591728,Resolved,Email system outage reported by multiple users,Service Desk,1 - Critical,Software
Luke Wilson,Beth Anglin,2023-03-25 10:21:00,Bud Richman,system,INC0000000103,2023-03-29 20:26:32.354211611,2023-03-29 20:26:32.354211611,Resolved,Email system response delays impacting workflow,Service Desk,2 - High,Software
Luke Wilson,Charlie Whitherspoon,2023-03-25 13:41:00,Bud Richman,employee,INC0000000104,2023-03-31 03:30:49.650938313,2023-03-31 03:30:49.650938313,Closed,Email system is down for several users,Service Desk,2 - High,Software
Charlie Whitherspoon,Beth Anglin,2023-03-26 03:04:00,Don Goodliffe,admin,INC0000000105,2023-03-30 18:18:40.283292167,2023-03-30 18:18:40.283292167,Closed,Email service disruption,Service Desk,2 - High,Network
Howard Johnson,Beth Anglin,2023-03-26 20:26:00,Don Goodliffe,system,INC0000000106,2023-04-05 15:35:17.891672781,2023-04-05 15:35:17.891672781,Resolved,Email server is not responding,Network,1 - Critical,Network
Fred Luddy,Fred Luddy,2023-03-27 03:23:00,David Loo,system,INC0000000107,2023-04-06 21:00:29.750660161,2023-04-06 21:00:29.750660161,Resolved,Email system is running slow,Service Desk,3 - Moderate,Software
Luke Wilson,Howard Johnson,2023-03-27 13:12:00,Don Goodliffe,admin,INC0000000108,2023-03-27 15:04:30.641062571,2023-03-27 15:04:30.641062571,Closed,Email system latency impacting workflow,Service Desk,2 - High,Software
Howard Johnson,Howard Johnson,2023-03-27 18:18:00,Don Goodliffe,system,INC0000000109,2023-04-03 12:55:54.120594045,2023-04-03 12:55:54.120594045,Resolved,Intermittent network outage in the west wing,Network,2 - High,Network
Howard Johnson,Charlie Whitherspoon,2023-03-29 03:41:00,ITIL User,system,INC0000000110,2023-04-01 00:14:11.696831565,2023-04-01 00:14:11.696831565,Resolved,Email system outage affecting multiple users,Service Desk,1 - Critical,Network
Howard Johnson,Charlie Whitherspoon,2023-03-29 04:32:00,Don Goodliffe,system,INC0000000111,2023-03-30 07:20:21.528581176,2023-03-30 07:20:21.528581176,Closed,Email system is slow and unresponsive,Service Desk,2 - High,Software
Fred Luddy,Luke Wilson,2023-03-30 08:11:00,Bud Richman,system,INC0000000112,2023-04-01 16:34:36.291473161,2023-04-01 16:34:36.291473161,Closed,Email system lagging extensively,Service Desk,2 - High,Software
Luke Wilson,Beth Anglin,2023-03-30 15:38:00,Don Goodliffe,employee,INC0000000113,2023-04-07 20:44:03.982640847,2023-04-07 20:44:03.982640847,Closed,Email client is not syncing emails,Service Desk,2 - High,Software
Fred Luddy,Luke Wilson,2023-03-31 16:53:00,ITIL User,admin,INC0000000114,2023-03-29 19:33:38.727011446,2023-03-29 19:33:38.727011446,Resolved,Email server outage affecting all users,Network,1 - Critical,Network
Fred Luddy,Howard Johnson,2023-04-03 07:15:00,Bud Richman,system,INC0000000115,2023-04-09 04:26:20.163369086,2023-04-09 04:26:20.163369086,Resolved,Email system downtime reported by several users,Service Desk,2 - High,Software
Luke Wilson,Luke Wilson,2023-04-03 15:33:00,Don Goodliffe,employee,INC0000000116,2023-04-13 04:42:14.218620651,2023-04-13 04:42:14.218620651,Closed,Email system outage reported by multiple users,Service Desk,1 - Critical,Network
Luke Wilson,Fred Luddy,2023-04-06 03:14:00,Bud Richman,admin,INC0000000117,2023-04-14 20:56:10.593499951,2023-04-14 20:56:10.593499951,Resolved,Email service outage reported by multiple users,Service Desk,1 - Critical,Network
Howard Johnson,Luke Wilson,2023-04-06 21:12:00,David Loo,system,INC0000000118,2023-04-08 18:45:56.330841210,2023-04-08 18:45:56.330841210,Closed,Email system performance issues reported by multiple users,Service Desk,2 - High,Software
Fred Luddy,Charlie Whitherspoon,2023-04-06 23:49:00,Don Goodliffe,system,INC0000000119,2023-04-08 14:45:47.607314233,2023-04-08 14:45:47.607314233,Closed,Email server response is slow,Network,2 - High,Network
Beth Anglin,Beth Anglin,2023-04-07 16:35:00,Bud Richman,admin,INC0000000120,2023-04-16 01:44:37.777692918,2023-04-16 01:44:37.777692918,Closed,Email system login issue reported by user,Service Desk,2 - High,Software
Fred Luddy,Beth Anglin,2023-04-08 08:39:00,Bud Richman,employee,INC0000000121,2023-04-20 05:40:26.813873733,2023-04-20 05:40:26.813873733,Closed,Email system downtime reported by multiple users,Service Desk,1 - Critical,Network
Beth Anglin,Charlie Whitherspoon,2023-04-08 11:49:00,ITIL User,admin,INC0000000122,2023-04-19 08:00:15.840626204,2023-04-19 08:00:15.840626204,Resolved,Email system lagging frequently,Service Desk,2 - High,Software
Fred Luddy,Beth Anglin,2023-04-09 00:29:00,Bud Richman,admin,INC0000000123,2023-04-16 16:53:31.558802480,2023-04-16 16:53:31.558802480,Closed,Email system performance degraded,Service Desk,2 - High,Software
Charlie Whitherspoon,Charlie Whitherspoon,2023-04-09 19:56:00,David Loo,employee,INC0000000124,2023-04-17 17:05:25.000463425,2023-04-17 17:05:25.000463425,Resolved,Email system lagging during peak hours,Service Desk,2 - High,Software
