number,opened_at,amount,state,short_description,ci,user,department,category,processed_date,source_id,type,location,processing_period
36c823a6-f5a8-4422-ade8-83aa76d8d2f2,2024-07-01 22:12:43,60552.96,Processed,Knowledge shoulder parent meet help approach. Service Asset,heart,flarsen,Customer Support,Assets,2024-10-22 08:47:53,340b00f7-c641-422e-911e-dee4b569798e,One-time,South America,112
b798029c-9f6c-4f89-baad-7957ba56541e,2024-06-26 06:05:49,111015.45,Processed,Allow sometimes all care goal style more. Travel Cloud,lay,flarsen,Product Management,Assets,2024-09-22 02:43:46,f7afbd9d-ff18-440e-96c9-58323fa64588,Recurring,South America,87
1395799e-4964-4f6f-8b06-c6e0e237f0a4,2024-09-15 22:18:42,36555.0,Pending,Should marriage bed owner then. Travel,task,christopher10,HR,Services,2024-10-26 09:33:26,d12803d7-d794-4a0f-81f8-b83a427e2946,One-time,Asia,40
44f8d240-aaf7-4081-a5f3-2441aaf8652d,2024-01-06 09:15:31,44911.200000000004,Processed,Brother parent third open within. Travel Asset,lay,mstark,Sales,Miscellaneous,2024-07-11 17:07:59,54dff983-8448-4f99-afe2-5cafefc9f6c0,One-time,Europe,187
78f72e80-0c9f-4e11-99ce-6d076cbc0fc7,2024-10-20 22:29:43,13267.800000000001,Submitted,Beat her general staff PM indeed mean early. Cloud,read,hthompson,HR,Services,2024-01-30 02:29:06,57561b34-3c34-4399-82a5-c25b50f3f921,One-time,North America,-265
6a7ca9a9-3b12-48fc-85be-7e767ac73de0,2024-01-22 21:00:58,32860.0,Processed,Ready physical low few teacher fill agency.,material,bgordon,Finance,Travel,2024-03-22 03:25:21,07ce033d-2add-4c1c-95d1-b8177ab6871d,One-time,Europe,59
f632f373-b413-4dae-85f9-782d9f7df166,2024-04-15 05:10:48,83254.5,Processed,Sign mother prevent enjoy. Equipment,lay,lbrewer,Customer Support,Assets,2024-06-08 09:23:50,0612fa84-b7b8-4948-a855-16de97c4fd85,One-time,Africa,54
2a1d553f-c25a-4ab9-804f-bf292982694c,2024-04-05 10:56:01,72143.0,Declined,Late also beyond away.,year,aaron97,Product Management,Services,2024-06-05 11:19:25,54301277-b9c3-4c83-8a49-57281f589746,One-time,Europe,61
044e08e2-fb7b-4096-b686-b3eff778bd49,2024-07-28 11:50:42,35515.2,Submitted,Sing even radio report. Service,home,salasalexander,IT,Assets,2024-05-06 18:06:57,6f963a36-be81-44c9-afc0-fe86d4c7fad9,Recurring,South America,-83
98b499f2-c56f-42c7-abc2-7d5f49ed148e,2024-01-08 09:38:38,47154.6,Pending,Safe shoulder poor improve bank pattern. Travel Service,contain,larsoncassandra,Development,Assets,2024-05-22 23:36:32,44b85d43-5f5a-4540-b94b-b3de2c5db963,One-time,Africa,135
924ef570-18ac-4e37-addf-debee77358ae,2024-05-23 06:32:29,92827.08,Pending,Win war actually foot TV he range. Service Equipment,read,robyn92,Customer Support,Travel,2024-02-13 04:44:33,90c632d3-0354-43bd-928a-94ebeac5e3c6,One-time,Europe,-101
40bf1f6c-ce0e-46ad-96bc-216b0c609ffb,2024-10-24 23:57:22,73762.0,Processed,Try wish how officer final line. Cloud,lay,mstark,Product Management,Services,2024-10-28 19:15:26,942f2836-4323-4a51-988c-25318223cc42,Recurring,Asia,3
324b6187-140f-4e10-b20d-f9dba5622c7b,2024-10-20 11:47:01,39146.0,Submitted,Edge meeting actually Democrat ago skin mean.,amount,wromero,Sales,Services,2024-07-09 09:25:32,1547f1b1-36d4-482e-b990-e847447e8617,One-time,Africa,-104
b9098ce9-e7a8-4bf9-abe7-f6757eecfb01,2024-10-07 17:57:07,62735.0,Pending,Eat available tell report more very.,certain,richard36,Sales,Services,2024-09-09 04:52:23,05ae8aaf-6dd9-4c9e-aec6-d4f36cec3463,One-time,South America,-29
62a790a5-70b8-4bd7-8705-96c36b16cb32,2024-02-18 20:54:08,74152.8,Pending,Could city effort doctor ready almost attention. Service Equipment,year,flarsen,Finance,Travel,2024-09-26 06:32:28,ccfacbe2-3cf7-4772-bf7f-2e4d255106d2,Recurring,Asia,220
84fc7293-6452-44a9-b0f1-d9f069af2946,2024-08-16 00:22:04,19526.0,Submitted,Nearly sell performance special common similar.,likely,downscorey,Development,Miscellaneous,2024-05-20 04:57:53,79c6e262-49d3-4c42-98d9-5f6db0c6e389,One-time,Asia,-88
05293f92-bb99-4d28-962f-ba6146635233,2024-02-29 03:26:01,37042.4,Submitted,General production recently tonight. Asset,material,mstark,Sales,Services,2024-01-21 03:18:12,fb9d75ae-885b-464c-9e54-f7cecb4a6c62,Recurring,South America,-40
1ad94203-efb4-4313-805e-a24dbd9fd04e,2024-10-03 05:45:59,71248.0,Pending,Might water media score. Asset,read,christopher10,Product Management,Assets,2024-06-11 20:32:43,cc24a2e8-0eda-4d3e-8534-397311b7e0e3,Recurring,North America,-114
f4dbc7c4-3ca2-4223-8062-364afbc0dace,2024-09-02 13:05:15,81546.912,Declined,A what time agree. Service Asset Equipment,among,thomasparrish,Product Management,Services,2024-10-10 04:48:56,759efa82-3fda-40fc-b554-d63d99305d83,Recurring,Europe,37
354310e2-d6e0-458b-9cef-48ee68e06931,2024-02-28 19:31:27,62812.8,Pending,Probably country which argue. Equipment,material,kennethbennett,Sales,Miscellaneous,2024-07-11 13:03:07,b6d4f2f1-b5e1-498e-a92f-0f2b4ae7b2db,Recurring,South America,133
b61684ea-9f69-4612-aad8-2b3fa019c959,2024-01-23 14:47:29,39352.32000000001,Pending,Place magazine care major. Asset Equipment,contain,tmccoy,Sales,Services,2024-05-30 11:19:31,b345e6ac-fec7-4455-b4db-654fc37ea762,One-time,Asia,127
97d232e1-05c4-47ab-8b18-ef10407e5ac7,2024-10-08 07:45:32,29213.0,Pending,Expert health data little yeah pass only.,amount,williamgraham,HR,Services,2024-08-12 00:18:24,3427a611-fc0b-410a-8e3f-71bc0fdfb822,One-time,North America,-58
922a1ee2-fbf3-4c08-8667-1ccfbf08af6b,2024-09-22 15:50:48,55194.0,Processed,Thus experience church ago. Service,lay,lopezbrittany,Sales,Services,2024-10-27 07:50:58,34172262-682b-402c-94ba-c0edd2a0c81c,One-time,Asia,34
67201d3e-0191-4f61-aa16-37158942275d,2024-04-03 05:20:11,24553.0,Processed,Well board serious morning approach buy father.,board,xsmith,HR,Services,2024-06-06 02:35:14,12ec9d49-b935-4627-8c60-7a3159d623ea,One-time,Asia,63
89c2fcef-a305-4f39-9603-0c0cb6afa260,2024-03-27 10:47:06,24229.600000000002,Submitted,Main buy within so office modern author. Asset,read,thomasparrish,Sales,Services,2024-05-05 16:17:24,75a1f500-cde2-400f-9da1-882962a0f1a5,One-time,Europe,39
2d5286e7-0b05-4dba-8007-0b82c360378e,2024-07-14 22:23:05,89151.0,Processed,Republican artist society if too skin lawyer.,history,tmccoy,Customer Support,Travel,2024-08-07 05:58:50,5e4edb0f-5302-487c-952e-ab73c0949d0e,Recurring,Africa,23
656bbf7b-6665-4a6c-aaf5-cfb474e701fd,2024-09-06 04:44:19,76218.48,Submitted,Maintain just international. Cloud Equipment,treat,oscarandrews,Product Management,Services,2024-04-05 18:22:47,f6b794ac-d464-4c52-8bfc-d442c6e001e2,One-time,Europe,-154
e3313b8e-f4ed-4d85-b832-2f2ec91dc4a2,2024-08-13 09:21:29,31064.0,Declined,Behind forward benefit manage personal.,treat,davisamanda,Finance,Services,2024-03-11 21:59:18,37f01990-df70-47fd-9a67-9a22f56b40c3,Recurring,Europe,-155
2ff86122-9f91-419a-9ee3-61a5919f5406,2024-07-23 10:05:34,22462.7,Submitted,You nature cut national these. Cloud,truth,smithstephen,IT,Travel,2024-03-20 21:23:23,d048f357-0d7f-4509-b6f7-51979252483a,One-time,North America,-125
dcdf5173-1ff8-46f1-b2b1-09d41f523273,2024-07-08 12:11:39,119529.0,Pending,Past each success when ability. Travel Service,board,gberry,Finance,Travel,2024-10-24 00:34:01,25a2219d-6696-45fc-b825-b941b11e37cc,One-time,Africa,107
3cd96f54-752c-482f-bf75-440bc9f3c3f5,2024-07-18 15:43:46,43580.16,Submitted,Hundred site car rich. Asset Equipment,year,oharrison,Product Management,Travel,2024-05-04 15:15:13,9550a08a-1362-46d9-ae2d-a1ba5a6b4542,Recurring,North America,-76
55ec725a-845e-419c-b413-b13a80f539a1,2024-02-23 11:39:08,31737.0,Pending,Example his fear upon threat hard stock debate. Travel,soon,ifoster,HR,Services,2024-06-05 23:48:02,fbb9cd2f-32fe-4e2d-9c25-42e670d8a9de,Recurring,North America,103
a4284dbd-334c-4354-9281-019108a7c57d,2024-02-04 15:04:39,47608.799999999996,Pending,Paper budget more magazine. Service,certain,hthompson,Sales,Miscellaneous,2024-04-19 16:25:15,a22ee1a4-9ede-4521-9c6b-57851f8d4782,Recurring,Africa,75
e22082ec-8b9b-4e61-a7cc-566d30dc3d33,2024-01-15 20:08:20,21309.0,Declined,Social line eye if protect.,treat,salasalexander,HR,Services,2024-09-09 02:49:15,ef4cdbed-5258-4a01-97c3-6dc9560ecfbf,Recurring,North America,237
ace14e62-cb91-4b44-a500-0183dae1d483,2024-03-12 08:06:32,109564.8,Pending,Bit financial none. Service,record,larsoncassandra,Product Management,Services,2024-08-26 18:07:19,9ccdc061-7808-48a5-a1c2-2d24450faaef,Recurring,Africa,167
40b3049e-5482-4cb1-9ed3-f617d19469eb,2024-07-19 06:29:05,48964.0,Declined,Expect stop herself health. Asset,likely,lphillips,Sales,Services,2024-10-19 10:37:53,a69b8447-95b3-41eb-b7f5-46f9de7d4bc3,Recurring,Africa,92
e1dae0a4-7538-4b84-84bf-ba52cb7f1699,2024-08-31 08:54:02,31786.3,Pending,If hard here statement whole book camera. Cloud,fear,jacksontodd,Development,Miscellaneous,2024-01-29 22:31:25,eff0deab-f556-4b48-b7ff-9ff362957f79,One-time,South America,-215
de47cde8-9a13-464d-a014-17e0dd09c449,2024-10-14 23:45:19,39804.3,Processed,Those image financial many begin voice. Equipment,contain,orodriguez,Finance,Travel,2024-10-17 09:50:54,527ab10c-82f9-480b-9864-e991904ee8c8,Recurring,North America,2
0cd6c080-9744-4e31-9c68-75fae25d3aa2,2024-06-11 14:59:15,14934.0,Pending,Seat once sing bad. Service,seat,hthompson,IT,Services,2024-10-16 12:42:27,420266cd-7990-44aa-9f3b-11ac6957be89,One-time,Africa,126
b2e8ccd7-ab80-4751-83d0-971045aaafdb,2024-06-17 02:19:36,73045.0,Processed,Big garden protect live Democrat plan ready.,lay,oscarandrews,Customer Support,Travel,2024-07-22 00:56:22,4113260e-f6c3-457c-91c5-28b18239db85,Recurring,Africa,34
672ab73b-4cae-4ce0-96df-e55d3ccf8cb4,2024-07-20 14:20:06,43700.8,Processed,Style form worry those. Asset,fear,gloria71,Sales,Services,2024-08-02 20:12:22,ef45bc4d-ad23-42f3-80d3-d5f19d17c74e,One-time,Africa,13
2dbf30a4-3787-4381-b655-82bfe18b5045,2024-02-21 19:23:17,44219.700000000004,Declined,Guess what herself occur charge idea rest. Equipment,board,christopher10,Finance,Services,2024-04-07 21:43:44,9aa8808b-0e8c-4576-a8f7-f6a0f018c5a9,One-time,Europe,46
d7f513c1-6521-45e4-9bfb-8ed79c6d7b81,2024-10-27 10:52:11,29617.92,Declined,Car five great serve note director. Service Equipment,read,robyn92,Development,Travel,2024-02-17 05:27:35,de77fb23-a80d-464d-af66-de5eeb67553b,Recurring,North America,-254
adbbec75-5353-47ad-b447-80ede859be77,2024-02-08 17:39:25,25246.0,Processed,Budget better discuss song smile four. Cloud,read,solomonsydney,IT,Miscellaneous,2024-04-11 15:14:39,373ad63c-7c87-4354-948f-3bccc584e954,Recurring,Asia,62
c02d0f5c-812b-452b-a54b-8474c576e272,2024-08-07 20:02:36,51806.4,Pending,Year pressure although not finally interesting quickly. Service,soon,robyn92,Sales,Services,2024-04-15 03:09:49,4737b4f8-e5c2-4060-a32e-9e8c4db6f2f3,Recurring,Europe,-115
44f9dccb-4997-424d-a4f4-ae8dcf3ad8dc,2024-06-23 14:33:17,105140.88,Declined,Your east employee if. Cloud Equipment,treat,mstark,Product Management,Travel,2024-06-28 17:09:26,1274ddb5-a3bd-4325-9f8c-8fda241d1808,Recurring,Europe,5
a1082c6a-cc7a-4e0f-9a81-5c93576d00ea,2024-01-20 23:04:33,30667.199999999997,Submitted,Gas out area imagine approach thought. Service,contain,kennethbennett,HR,Assets,2024-05-31 05:46:37,29a4fc39-48d1-426f-88b0-a34c6bdfe207,Recurring,North America,131
544d61a0-35e7-460b-9aae-7f9a2c75460a,2024-02-07 06:55:41,12454.0,Submitted,Girl each always gun south performance head.,material,jesusnicholson,HR,Services,2024-06-11 19:23:25,6f23d9c8-6ea3-4249-b08a-894bad47271f,Recurring,North America,125
594e7880-9a9e-446a-afa0-99a3593eb92d,2024-05-04 17:15:55,77613.6,Declined,Challenge data recognize hear. Travel Asset,home,igarcia,Finance,Services,2024-04-01 23:12:32,0911c0c1-bf36-4d97-b052-0919e54c8e3a,Recurring,Asia,-33
8aadb4e6-f8d0-49f1-acee-51b1c0e98d60,2024-02-15 10:53:43,11194.2,Submitted,Play open prove right keep will firm take. Equipment,lay,ynelson,HR,Services,2024-03-25 03:21:42,61fa1f34-7275-461b-a3ab-799d93d0fb87,Recurring,Asia,38
cb9cf92e-27dc-435a-8684-36eb55875261,2024-06-10 17:49:41,41333.0,Declined,Another fire rest.,amount,ksutton,Finance,Travel,2024-07-05 11:26:19,1f300c44-2825-42c4-bd9e-768997d3c2ba,One-time,Europe,24
5848a8ec-2cb9-4e72-afd5-dcd66297f7d0,2024-10-13 19:08:42,35846.4,Pending,Join cover wear drug amount like again. Travel Asset,among,donald65,HR,Assets,2024-01-24 21:08:41,7612d992-5f74-4096-9377-e055bb0375df,Recurring,Europe,-263
3fa55869-21ad-470f-9de6-8bd742bb1c0f,2024-10-18 17:47:17,51122.0,Submitted,Though detail first chair sure skin.,history,gloria71,Product Management,Services,2024-08-24 14:29:04,c8a3f46c-8919-46c7-aec8-ce5c131d6264,One-time,Asia,-56
42166c8a-d0b1-4e3c-b658-aab90b46f1d2,2024-08-03 08:47:28,81666.0,Submitted,Strategy realize stay risk. Cloud Asset Equipment,treat,oscarandrews,Customer Support,Travel,2024-05-04 03:32:21,ac7fd3b4-b3a0-418d-90b3-01d4cf063b77,One-time,North America,-92
bab51fbf-ecb1-4ded-b93d-275e86d09e85,2024-08-08 10:10:25,113484.8,Pending,Million base gun such on environment. Cloud,seat,christopher10,Customer Support,Services,2024-03-28 14:10:17,fd514ff4-651c-4e32-9b97-4a718915fcba,Recurring,Africa,-133
82f51d34-6094-480e-b508-6c3516915396,2024-04-13 11:39:55,92885.0,Declined,Investment pass understand hot keep.,history,ryananderson,Customer Support,Assets,2024-04-11 02:56:52,95825f1d-b9aa-4480-ae1d-a9a0a315de62,One-time,Asia,-3
f71e2e7f-c788-4d1b-93b0-ae5d6f5251c7,2024-03-01 14:26:27,80940.6,Processed,Democratic decide nothing eight hope able standard. Cloud,fear,jacksontodd,Customer Support,Services,2024-06-08 03:31:23,766d1bd1-1919-4b7e-a696-7f7872ed7f68,One-time,Asia,98
2b0c568f-c70e-457c-93cd-93c3fa0b9f0b,2024-07-20 02:05:02,88990.2,Processed,Standard choice customer establish rate make political. Cloud,certain,larsoncassandra,Finance,Services,2024-10-29 11:03:34,a37537d6-cf99-41ad-8ab3-bbefb2c97a8b,Recurring,North America,101
5a090e6a-752a-466c-a780-6b068b98d562,2024-01-13 21:17:38,20748.0,Declined,Nature campaign ability year do subject whether.,history,jennifer24,IT,Miscellaneous,2024-03-09 09:02:11,905db6b4-6878-40cd-b1f8-4efbf79aa09c,Recurring,Africa,55
9217d10b-7502-4aee-870f-8103e0680fb4,2024-09-06 01:16:16,108966.59999999999,Declined,May would story wish type. Travel Service,amount,dwaters,Sales,Assets,2024-09-13 02:19:56,47f0c3cb-2b61-4a7b-951e-4f8d4ba7a1a8,One-time,North America,7
d9f31220-ea8f-4dcb-89e3-224bc578f129,2024-04-19 12:03:09,18607.0,Pending,Test represent successful garden act.,truth,larsoncassandra,HR,Services,2024-06-23 10:05:22,87ba8e70-61a5-415f-b5cb-3e5d9aef316c,One-time,Europe,64
5157d0d0-e660-47e5-bcfe-291c6551cab3,2024-07-25 01:25:13,15878.0,Processed,Others avoid west.,likely,lbrewer,IT,Travel,2024-09-17 17:58:27,3c5c720f-2277-4330-b898-efcc0f408d97,One-time,North America,54
440db459-130b-4812-85c1-956c35577177,2024-08-18 07:35:09,126742.2,Declined,Near writer since keep after skill throw summer. Cloud,board,mstark,Customer Support,Assets,2024-01-31 22:29:40,42533229-4cb9-4ba5-b812-95bcca37460b,Recurring,Asia,-200
a18770bf-21e1-4dd1-95bf-ddae546b707c,2024-04-15 00:45:40,81320.0,Declined,Every get before boy.,read,christopher10,Product Management,Services,2024-02-14 08:36:23,1189fa4b-7ced-47e6-90b5-5899ff9342a1,One-time,Asia,-61
6bed1d66-e671-4301-ba3b-c1f045db3486,2024-06-30 16:05:28,52793.1,Submitted,What around little over. Equipment,board,gberry,Customer Support,Travel,2024-06-20 14:30:40,9ba5ea82-a6af-4800-be2f-6e3183e140ab,One-time,Europe,-11
9a97a327-2b97-4763-9acf-bd8e977c8a85,2024-09-27 03:17:27,45499.200000000004,Declined,Past moment study personal order bar thus. Service Asset,amount,jennifer24,Sales,Assets,2024-08-30 15:35:29,57d7caf9-a3e3-465d-8a43-50847a25ae9f,One-time,Africa,-28
43f1d22b-6e58-4207-b509-f3c8b62f1030,2024-07-09 15:17:12,53173.2,Pending,Culture less down maybe me old treat. Service,truth,wromero,Finance,Services,2024-09-13 22:20:36,0859597d-d07e-4b6b-a069-be58b6354a66,One-time,Europe,66
30db794b-490b-4d54-a27b-74e679aa07a7,2024-08-29 09:46:19,128095.5,Declined,Ground nearly important part. Cloud,read,david57,Customer Support,Services,2024-09-22 15:42:36,12378e04-0b38-4213-932e-4198ed9a5cec,One-time,Asia,24
07465e44-6ab5-444b-8883-47488cd637f4,2024-05-08 08:34:23,88618.40000000001,Pending,Prevent clear ahead some animal natural citizen. Cloud,board,jeanettelopez,Product Management,Services,2024-03-31 01:25:58,695c1718-0f79-4682-aae8-3400c297b248,Recurring,Europe,-39
88c92bb7-9529-4f2c-86f8-fb51877c51af,2024-07-23 12:17:54,15050.4,Processed,Popular bag dark ground discussion she. Service,read,jennifer14,IT,Assets,2024-10-19 01:58:35,ee7078e7-fbf7-46bd-9e90-18655da9bb24,Recurring,Asia,87
5ddcd299-189d-4070-8edd-b4d428c1e081,2024-09-11 14:59:51,61311.0,Submitted,Worry computer hit picture push shake two.,soon,mstark,Finance,Services,2024-10-15 12:38:30,c3a9de78-19ce-485b-b313-5937c628d26a,Recurring,North America,33
021b2455-22e1-4615-a4e7-4c96a22c7a36,2024-06-10 09:26:50,98688.0,Processed,Rich although cold local particularly law. Service,task,igarcia,Customer Support,Services,2024-08-01 08:41:05,7dbcae75-c606-4f7c-8e59-59633ed76d65,One-time,Africa,51
4a5389aa-660d-440b-acd1-f2a388c83f29,2024-08-02 04:46:49,58181.76,Declined,On medical develop gas. Cloud Asset,truth,igarcia,Product Management,Services,2024-01-17 08:05:34,db2cac32-18c1-42c4-b6a0-81e5eaf47325,Recurring,North America,-198
bac587a8-6c10-4f74-be28-b27f9927d92e,2024-08-17 08:41:07,102252.8,Processed,Might alone common. Cloud,fear,downscorey,Customer Support,Services,2024-09-06 00:53:44,b491867d-298b-46c1-8e08-3a922c32ef79,One-time,South America,19
5782fab5-61de-41ad-a123-02e44c05546b,2024-01-08 17:22:38,15114.060000000001,Pending,Read arrive writer. Cloud Equipment,amount,xsmith,IT,Miscellaneous,2024-07-02 07:28:23,b6f99ffe-cf9c-448d-8601-2e8d8d0cc1e2,One-time,Asia,175
d61a5032-4d57-4501-a1c5-bec6bda8e5ab,2024-03-31 05:26:35,51909.600000000006,Processed,Young tend performance line assume need. Asset,seat,oscarandrews,Customer Support,Assets,2024-09-12 06:14:04,7b8ebb92-5e2b-4001-ac00-e94fbda3f881,One-time,North America,165
559f9ab4-6a6f-4903-9afa-e62cef18ff29,2024-03-09 06:29:25,13452.192,Declined,Clearly consider yes affect develop. Service Cloud Asset,task,elizabethmedina,Development,Services,2024-05-31 06:44:44,c2e91121-1746-4729-9f50-dffb38ee8f3c,One-time,South America,83
3a1aa8ac-ff3a-45d8-af3b-ffbfc498a3c3,2024-08-17 13:34:24,47661.12,Declined,Tree despite TV wait myself suffer. Cloud Asset,fear,ksutton,Finance,Services,2024-10-07 16:08:55,de43d96b-a0ee-42b6-a6a4-11d887e7dbd8,Recurring,Africa,51
4eb9984f-b330-4294-9d0e-52eddf40ed56,2024-04-08 02:01:04,82504.5,Declined,Authority they minute relate story walk. Travel,record,davisamanda,Finance,Services,2024-04-13 07:52:13,47bd8850-537f-4b07-acc2-8ec13aca6606,Recurring,Europe,5
2e7021a4-4321-4fdf-ba66-464de216ecff,2024-10-08 10:53:23,30369.0,Submitted,Those everyone small raise degree too form.,among,larsoncassandra,Finance,Travel,2024-09-30 06:58:21,f3bc8c55-2318-40ed-bfe1-5972d6432af1,One-time,Africa,-9
8cecfbf7-a818-44b9-89b6-40a3a5957f28,2024-08-15 07:44:56,13732.0,Processed,Business realize final guess.,material,david57,Development,Assets,2024-10-13 00:31:30,789f9f55-91f2-4e91-b981-9083e5a907fe,One-time,North America,58
0d3d2683-25a8-4661-9a80-0c2c34c72013,2024-08-20 02:14:24,32940.9,Pending,Season especially budget else artist. Equipment,material,lbrewer,Finance,Assets,2024-10-28 14:58:05,29fe3399-cb12-447f-a641-5629d697d019,One-time,Europe,69
