number,opened_at,state,short_description,ci,department,category,processed_date,source_id,type,location,processing_period
e7aa80d5-b13a-4fa1-8334-e61e881f0820,2024-07-19 21:22:03,Submitted,Analysis can Mrs.,lay,Sales,Assets,2024-01-13 18:20:52,b74b2cfc-9d55-4a62-aafa-f513a178e5d8,One-time,Africa,-189
36c823a6-f5a8-4422-ade8-83aa76d8d2f2,2024-07-01 22:12:43,Processed,Knowledge shoulder parent meet help approach. Service Asset,heart,Customer Support,Assets,2024-10-22 08:47:53,340b00f7-c641-422e-911e-dee4b569798e,One-time,South America,112
b798029c-9f6c-4f89-baad-7957ba56541e,2024-06-26 06:05:49,Processed,Allow sometimes all care goal style more. Travel Cloud,lay,Product Management,Assets,2024-09-22 02:43:46,f7afbd9d-ff18-440e-96c9-58323fa64588,Recurring,South America,87
1395799e-4964-4f6f-8b06-c6e0e237f0a4,2024-09-15 22:18:42,Pending,Should marriage bed owner then. Travel,task,HR,Services,2024-10-26 09:33:26,d12803d7-d794-4a0f-81f8-b83a427e2946,One-time,Asia,40
44f8d240-aaf7-4081-a5f3-2441aaf8652d,2024-01-06 09:15:31,Processed,Brother parent third open within. Travel Asset,lay,Sales,Miscellaneous,2024-07-11 17:07:59,54dff983-8448-4f99-afe2-5cafefc9f6c0,One-time,Europe,187
78f72e80-0c9f-4e11-99ce-6d076cbc0fc7,2024-10-20 22:29:43,Submitted,Beat her general staff PM indeed mean early. Cloud,read,HR,Services,2024-01-30 02:29:06,57561b34-3c34-4399-82a5-c25b50f3f921,One-time,North America,-265
6a7ca9a9-3b12-48fc-85be-7e767ac73de0,2024-01-22 21:00:58,Processed,Ready physical low few teacher fill agency.,material,Finance,Travel,2024-03-22 03:25:21,07ce033d-2add-4c1c-95d1-b8177ab6871d,One-time,Europe,59
f632f373-b413-4dae-85f9-782d9f7df166,2024-04-15 05:10:48,Processed,Sign mother prevent enjoy. Equipment,lay,Customer Support,Assets,2024-06-08 09:23:50,0612fa84-b7b8-4948-a855-16de97c4fd85,One-time,Africa,54
044e08e2-fb7b-4096-b686-b3eff778bd49,2024-07-28 11:50:42,Submitted,Sing even radio report. Service,home,IT,Assets,2024-05-06 18:06:57,6f963a36-be81-44c9-afc0-fe86d4c7fad9,Recurring,South America,-83
98b499f2-c56f-42c7-abc2-7d5f49ed148e,2024-01-08 09:38:38,Pending,Safe shoulder poor improve bank pattern. Travel Service,contain,Development,Assets,2024-05-22 23:36:32,44b85d43-5f5a-4540-b94b-b3de2c5db963,One-time,Africa,135
924ef570-18ac-4e37-addf-debee77358ae,2024-05-23 06:32:29,Pending,Win war actually foot TV he range. Service Equipment,read,Customer Support,Travel,2024-02-13 04:44:33,90c632d3-0354-43bd-928a-94ebeac5e3c6,One-time,Europe,-101
40bf1f6c-ce0e-46ad-96bc-216b0c609ffb,2024-10-24 23:57:22,Processed,Try wish how officer final line. Cloud,lay,Product Management,Services,2024-10-28 19:15:26,942f2836-4323-4a51-988c-25318223cc42,Recurring,Asia,3
324b6187-140f-4e10-b20d-f9dba5622c7b,2024-10-20 11:47:01,Submitted,Edge meeting actually Democrat ago skin mean.,amount,Sales,Services,2024-07-09 09:25:32,1547f1b1-36d4-482e-b990-e847447e8617,One-time,Africa,-104
b9098ce9-e7a8-4bf9-abe7-f6757eecfb01,2024-10-07 17:57:07,Pending,Eat available tell report more very.,certain,Sales,Services,2024-09-09 04:52:23,05ae8aaf-6dd9-4c9e-aec6-d4f36cec3463,One-time,South America,-29
62a790a5-70b8-4bd7-8705-96c36b16cb32,2024-02-18 20:54:08,Pending,Could city effort doctor ready almost attention. Service Equipment,year,Finance,Travel,2024-09-26 06:32:28,ccfacbe2-3cf7-4772-bf7f-2e4d255106d2,Recurring,Asia,220
84fc7293-6452-44a9-b0f1-d9f069af2946,2024-08-16 00:22:04,Submitted,Nearly sell performance special common similar.,likely,Development,Miscellaneous,2024-05-20 04:57:53,79c6e262-49d3-4c42-98d9-5f6db0c6e389,One-time,Asia,-88
05293f92-bb99-4d28-962f-ba6146635233,2024-02-29 03:26:01,Submitted,General production recently tonight. Asset,material,Sales,Services,2024-01-21 03:18:12,fb9d75ae-885b-464c-9e54-f7cecb4a6c62,Recurring,South America,-40
1ad94203-efb4-4313-805e-a24dbd9fd04e,2024-10-03 05:45:59,Pending,Might water media score. Asset,read,Product Management,Assets,2024-06-11 20:32:43,cc24a2e8-0eda-4d3e-8534-397311b7e0e3,Recurring,North America,-114
354310e2-d6e0-458b-9cef-48ee68e06931,2024-02-28 19:31:27,Pending,Probably country which argue. Equipment,material,Sales,Miscellaneous,2024-07-11 13:03:07,b6d4f2f1-b5e1-498e-a92f-0f2b4ae7b2db,Recurring,South America,133
b61684ea-9f69-4612-aad8-2b3fa019c959,2024-01-23 14:47:29,Pending,Place magazine care major. Asset Equipment,contain,Sales,Services,2024-05-30 11:19:31,b345e6ac-fec7-4455-b4db-654fc37ea762,One-time,Asia,127
97d232e1-05c4-47ab-8b18-ef10407e5ac7,2024-10-08 07:45:32,Pending,Expert health data little yeah pass only.,amount,HR,Services,2024-08-12 00:18:24,3427a611-fc0b-410a-8e3f-71bc0fdfb822,One-time,North America,-58
922a1ee2-fbf3-4c08-8667-1ccfbf08af6b,2024-09-22 15:50:48,Processed,Thus experience church ago. Service,lay,Sales,Services,2024-10-27 07:50:58,34172262-682b-402c-94ba-c0edd2a0c81c,One-time,Asia,34
67201d3e-0191-4f61-aa16-37158942275d,2024-04-03 05:20:11,Processed,Well board serious morning approach buy father.,board,HR,Services,2024-06-06 02:35:14,12ec9d49-b935-4627-8c60-7a3159d623ea,One-time,Asia,63
89c2fcef-a305-4f39-9603-0c0cb6afa260,2024-03-27 10:47:06,Submitted,Main buy within so office modern author. Asset,read,Sales,Services,2024-05-05 16:17:24,75a1f500-cde2-400f-9da1-882962a0f1a5,One-time,Europe,39
2d5286e7-0b05-4dba-8007-0b82c360378e,2024-07-14 22:23:05,Processed,Republican artist society if too skin lawyer.,history,Customer Support,Travel,2024-08-07 05:58:50,5e4edb0f-5302-487c-952e-ab73c0949d0e,Recurring,Africa,23
656bbf7b-6665-4a6c-aaf5-cfb474e701fd,2024-09-06 04:44:19,Submitted,Maintain just international. Cloud Equipment,treat,Product Management,Services,2024-04-05 18:22:47,f6b794ac-d464-4c52-8bfc-d442c6e001e2,One-time,Europe,-154
2ff86122-9f91-419a-9ee3-61a5919f5406,2024-07-23 10:05:34,Submitted,You nature cut national these. Cloud,truth,IT,Travel,2024-03-20 21:23:23,d048f357-0d7f-4509-b6f7-51979252483a,One-time,North America,-125
dcdf5173-1ff8-46f1-b2b1-09d41f523273,2024-07-08 12:11:39,Pending,Past each success when ability. Travel Service,board,Finance,Travel,2024-10-24 00:34:01,25a2219d-6696-45fc-b825-b941b11e37cc,One-time,Africa,107
3cd96f54-752c-482f-bf75-440bc9f3c3f5,2024-07-18 15:43:46,Submitted,Hundred site car rich. Asset Equipment,year,Product Management,Travel,2024-05-04 15:15:13,9550a08a-1362-46d9-ae2d-a1ba5a6b4542,Recurring,North America,-76
55ec725a-845e-419c-b413-b13a80f539a1,2024-02-23 11:39:08,Pending,Example his fear upon threat hard stock debate. Travel,soon,HR,Services,2024-06-05 23:48:02,fbb9cd2f-32fe-4e2d-9c25-42e670d8a9de,Recurring,North America,103
a4284dbd-334c-4354-9281-019108a7c57d,2024-02-04 15:04:39,Pending,Paper budget more magazine. Service,certain,Sales,Miscellaneous,2024-04-19 16:25:15,a22ee1a4-9ede-4521-9c6b-57851f8d4782,Recurring,Africa,75
ace14e62-cb91-4b44-a500-0183dae1d483,2024-03-12 08:06:32,Pending,Bit financial none. Service,record,Product Management,Services,2024-08-26 18:07:19,9ccdc061-7808-48a5-a1c2-2d24450faaef,Recurring,Africa,167
e1dae0a4-7538-4b84-84bf-ba52cb7f1699,2024-08-31 08:54:02,Pending,If hard here statement whole book camera. Cloud,fear,Development,Miscellaneous,2024-01-29 22:31:25,eff0deab-f556-4b48-b7ff-9ff362957f79,One-time,South America,-215
de47cde8-9a13-464d-a014-17e0dd09c449,2024-10-14 23:45:19,Processed,Those image financial many begin voice. Equipment,contain,Finance,Travel,2024-10-17 09:50:54,527ab10c-82f9-480b-9864-e991904ee8c8,Recurring,North America,2
0cd6c080-9744-4e31-9c68-75fae25d3aa2,2024-06-11 14:59:15,Pending,Seat once sing bad. Service,seat,IT,Services,2024-10-16 12:42:27,420266cd-7990-44aa-9f3b-11ac6957be89,One-time,Africa,126
b2e8ccd7-ab80-4751-83d0-971045aaafdb,2024-06-17 02:19:36,Processed,Big garden protect live Democrat plan ready.,lay,Customer Support,Travel,2024-07-22 00:56:22,4113260e-f6c3-457c-91c5-28b18239db85,Recurring,Africa,34
672ab73b-4cae-4ce0-96df-e55d3ccf8cb4,2024-07-20 14:20:06,Processed,Style form worry those. Asset,fear,Sales,Services,2024-08-02 20:12:22,ef45bc4d-ad23-42f3-80d3-d5f19d17c74e,One-time,Africa,13
adbbec75-5353-47ad-b447-80ede859be77,2024-02-08 17:39:25,Processed,Budget better discuss song smile four. Cloud,read,IT,Miscellaneous,2024-04-11 15:14:39,373ad63c-7c87-4354-948f-3bccc584e954,Recurring,Asia,62
c02d0f5c-812b-452b-a54b-8474c576e272,2024-08-07 20:02:36,Pending,Year pressure although not finally interesting quickly. Service,soon,Sales,Services,2024-04-15 03:09:49,4737b4f8-e5c2-4060-a32e-9e8c4db6f2f3,Recurring,Europe,-115
a1082c6a-cc7a-4e0f-9a81-5c93576d00ea,2024-01-20 23:04:33,Submitted,Gas out area imagine approach thought. Service,contain,HR,Assets,2024-05-31 05:46:37,29a4fc39-48d1-426f-88b0-a34c6bdfe207,Recurring,North America,131
544d61a0-35e7-460b-9aae-7f9a2c75460a,2024-02-07 06:55:41,Submitted,Girl each always gun south performance head.,material,HR,Services,2024-06-11 19:23:25,6f23d9c8-6ea3-4249-b08a-894bad47271f,Recurring,North America,125
8aadb4e6-f8d0-49f1-acee-51b1c0e98d60,2024-02-15 10:53:43,Submitted,Play open prove right keep will firm take. Equipment,lay,HR,Services,2024-03-25 03:21:42,61fa1f34-7275-461b-a3ab-799d93d0fb87,Recurring,Asia,38
5848a8ec-2cb9-4e72-afd5-dcd66297f7d0,2024-10-13 19:08:42,Pending,Join cover wear drug amount like again. Travel Asset,among,HR,Assets,2024-01-24 21:08:41,7612d992-5f74-4096-9377-e055bb0375df,Recurring,Europe,-263
3fa55869-21ad-470f-9de6-8bd742bb1c0f,2024-10-18 17:47:17,Submitted,Though detail first chair sure skin.,history,Product Management,Services,2024-08-24 14:29:04,c8a3f46c-8919-46c7-aec8-ce5c131d6264,One-time,Asia,-56
42166c8a-d0b1-4e3c-b658-aab90b46f1d2,2024-08-03 08:47:28,Submitted,Strategy realize stay risk. Cloud Asset Equipment,treat,Customer Support,Travel,2024-05-04 03:32:21,ac7fd3b4-b3a0-418d-90b3-01d4cf063b77,One-time,North America,-92
bab51fbf-ecb1-4ded-b93d-275e86d09e85,2024-08-08 10:10:25,Pending,Million base gun such on environment. Cloud,seat,Customer Support,Services,2024-03-28 14:10:17,fd514ff4-651c-4e32-9b97-4a718915fcba,Recurring,Africa,-133
f71e2e7f-c788-4d1b-93b0-ae5d6f5251c7,2024-03-01 14:26:27,Processed,Democratic decide nothing eight hope able standard. Cloud,fear,Customer Support,Services,2024-06-08 03:31:23,766d1bd1-1919-4b7e-a696-7f7872ed7f68,One-time,Asia,98
2b0c568f-c70e-457c-93cd-93c3fa0b9f0b,2024-07-20 02:05:02,Processed,Standard choice customer establish rate make political. Cloud,certain,Finance,Services,2024-10-29 11:03:34,a37537d6-cf99-41ad-8ab3-bbefb2c97a8b,Recurring,North America,101
d9f31220-ea8f-4dcb-89e3-224bc578f129,2024-04-19 12:03:09,Pending,Test represent successful garden act.,truth,HR,Services,2024-06-23 10:05:22,87ba8e70-61a5-415f-b5cb-3e5d9aef316c,One-time,Europe,64
5157d0d0-e660-47e5-bcfe-291c6551cab3,2024-07-25 01:25:13,Processed,Others avoid west.,likely,IT,Travel,2024-09-17 17:58:27,3c5c720f-2277-4330-b898-efcc0f408d97,One-time,North America,54
6bed1d66-e671-4301-ba3b-c1f045db3486,2024-06-30 16:05:28,Submitted,What around little over. Equipment,board,Customer Support,Travel,2024-06-20 14:30:40,9ba5ea82-a6af-4800-be2f-6e3183e140ab,One-time,Europe,-11
43f1d22b-6e58-4207-b509-f3c8b62f1030,2024-07-09 15:17:12,Pending,Culture less down maybe me old treat. Service,truth,Finance,Services,2024-09-13 22:20:36,0859597d-d07e-4b6b-a069-be58b6354a66,One-time,Europe,66
07465e44-6ab5-444b-8883-47488cd637f4,2024-05-08 08:34:23,Pending,Prevent clear ahead some animal natural citizen. Cloud,board,Product Management,Services,2024-03-31 01:25:58,695c1718-0f79-4682-aae8-3400c297b248,Recurring,Europe,-39
88c92bb7-9529-4f2c-86f8-fb51877c51af,2024-07-23 12:17:54,Processed,Popular bag dark ground discussion she. Service,read,IT,Assets,2024-10-19 01:58:35,ee7078e7-fbf7-46bd-9e90-18655da9bb24,Recurring,Asia,87
5ddcd299-189d-4070-8edd-b4d428c1e081,2024-09-11 14:59:51,Submitted,Worry computer hit picture push shake two.,soon,Finance,Services,2024-10-15 12:38:30,c3a9de78-19ce-485b-b313-5937c628d26a,Recurring,North America,33
021b2455-22e1-4615-a4e7-4c96a22c7a36,2024-06-10 09:26:50,Processed,Rich although cold local particularly law. Service,task,Customer Support,Services,2024-08-01 08:41:05,7dbcae75-c606-4f7c-8e59-59633ed76d65,One-time,Africa,51
bac587a8-6c10-4f74-be28-b27f9927d92e,2024-08-17 08:41:07,Processed,Might alone common. Cloud,fear,Customer Support,Services,2024-09-06 00:53:44,b491867d-298b-46c1-8e08-3a922c32ef79,One-time,South America,19
5782fab5-61de-41ad-a123-02e44c05546b,2024-01-08 17:22:38,Pending,Read arrive writer. Cloud Equipment,amount,IT,Miscellaneous,2024-07-02 07:28:23,b6f99ffe-cf9c-448d-8601-2e8d8d0cc1e2,One-time,Asia,175
d61a5032-4d57-4501-a1c5-bec6bda8e5ab,2024-03-31 05:26:35,Processed,Young tend performance line assume need. Asset,seat,Customer Support,Assets,2024-09-12 06:14:04,7b8ebb92-5e2b-4001-ac00-e94fbda3f881,One-time,North America,165
2e7021a4-4321-4fdf-ba66-464de216ecff,2024-10-08 10:53:23,Submitted,Those everyone small raise degree too form.,among,Finance,Travel,2024-09-30 06:58:21,f3bc8c55-2318-40ed-bfe1-5972d6432af1,One-time,Africa,-9
8cecfbf7-a818-44b9-89b6-40a3a5957f28,2024-08-15 07:44:56,Processed,Business realize final guess.,material,Development,Assets,2024-10-13 00:31:30,789f9f55-91f2-4e91-b981-9083e5a907fe,One-time,North America,58
0d3d2683-25a8-4661-9a80-0c2c34c72013,2024-08-20 02:14:24,Pending,Season especially budget else artist. Equipment,material,Finance,Assets,2024-10-28 14:58:05,29fe3399-cb12-447f-a641-5629d697d019,One-time,Europe,69
3d7b5b1c-f65f-4917-af2a-3a8dca35521f,2024-02-23 18:56:18,Pending,Low night financial similar history nation why policy. Cloud,amount,Development,Travel,2024-07-12 02:51:06,0c96aecd-700c-404c-961a-e8c4bbc70a4b,Recurring,Asia,139
61093212-0761-4318-8165-8624ff24ba45,2024-03-20 15:15:35,Processed,Green such assume daughter game professor establish.,board,IT,Travel,2024-07-04 06:36:25,0f2c381e-112a-4338-b327-f20e0410c576,One-time,South America,105
b1412184-be7b-402f-bc09-0e834970a20e,2024-07-04 23:51:51,Pending,Radio the account another late pay right.,truth,IT,Services,2024-03-08 04:16:29,1ea7bd1b-2a79-4704-8b4e-7f5ea1827d03,One-time,South America,-119
b59bbc11-ea11-4f27-b42d-c7958aecb97d,2024-02-18 07:48:04,Pending,Lot well side themselves hundred chance parent admit.,seat,Sales,Assets,2024-05-05 04:45:48,f48c92a9-8a33-4828-adb2-177d48c6692f,One-time,Asia,76
a3b76299-2c53-40a2-9d80-a2f178b893b6,2024-08-31 21:25:50,Pending,Opportunity join million boy newspaper.,record,HR,Miscellaneous,2024-07-04 07:07:45,bee57be9-0564-40a5-bb7d-01b17f3369bc,Recurring,South America,-59
85979773-5748-48e6-bff6-b88888e86dfd,2024-05-06 04:22:19,Submitted,Forget card population memory who different.,truth,IT,Services,2024-10-19 00:07:46,8288a054-69fe-4b44-8f65-b251c9cd879e,Recurring,South America,165
ffdb27dc-8bec-4628-9395-0762bd4e3a48,2024-02-29 10:44:02,Submitted,Since teach country five.,among,Sales,Services,2024-10-15 07:18:28,babad2ec-ebc2-4b2b-8b02-b7d393130685,One-time,North America,228
57cb8dda-b664-4e7e-9432-1107b5f34251,2024-09-16 14:08:52,Pending,Society drop big mission onto scene left defense.,material,Customer Support,Miscellaneous,2024-04-20 22:24:07,c6002973-3263-4bfa-b322-322f8533e5c9,Recurring,North America,-149
cee7bd7c-70d4-49ae-968a-4f6472801001,2024-08-13 00:38:26,Processed,Feeling including ever article.,board,Product Management,Services,2024-10-04 16:05:57,cf805b82-743a-41b8-b6a2-c8c80cb74345,Recurring,Africa,52
fb613934-6733-4260-8786-80dca8f149af,2024-09-17 12:12:22,Submitted,Television many fine want water bag fall. Travel,certain,Finance,Miscellaneous,2024-08-16 15:58:29,051fdfc9-6a96-4c99-a60a-fb1113607450,Recurring,Asia,-32
94a0b695-f72c-40f9-aaf0-d56a3c3e5ba5,2024-07-18 03:14:41,Submitted,Nearly compare task religious not discover service interesting. Service,material,Development,Assets,2024-10-06 04:05:03,7a3965fd-eef2-407b-8ff9-414f6824cfdd,Recurring,Africa,80
1c358fb3-dd02-4ef2-9acc-4f4150605301,2024-06-12 11:33:54,Processed,They health address face enough. Travel,record,Finance,Miscellaneous,2024-08-25 16:21:28,1b155b1d-2f32-41ff-9360-de02781a7f11,One-time,Europe,74
08b2fee1-e4f1-4984-8d0e-f3dda37c0bbc,2024-04-21 10:35:03,Processed,Yet short travel.,task,Sales,Services,2024-07-23 00:06:55,0935cd6c-67b8-4e4c-b8cf-cf244184743d,Recurring,Asia,92
7ba20f45-435c-49eb-ad5c-9257e97038fd,2024-03-06 03:59:20,Processed,Wife any other commercial.,history,HR,Assets,2024-05-21 19:44:09,32114c60-cd01-4f18-ba17-9a53b6e48f86,Recurring,South America,76
3fdaee56-0b2c-4638-a541-dd1bdef72a02,2024-05-14 01:36:38,Submitted,Minute great play. Travel,certain,Customer Support,Travel,2024-06-21 14:18:42,21173672-3fe3-4204-856d-92ec10ad5980,One-time,North America,38
5f2d3094-e4ef-42f4-8d32-c81e246d4b41,2024-07-01 16:19:19,Processed,Management effort adult imagine listen. Cloud,among,Development,Travel,2024-07-27 15:55:40,37125b06-5886-428a-a968-c545c60a2be0,Recurring,North America,25
c684b012-c69c-419f-902e-d924d14e1730,2024-10-18 17:12:50,Submitted,Strong too feel his add identify might. Cloud Equipment,lay,Finance,Services,2024-03-25 10:09:07,42df3c47-c316-41d6-b8f4-d704e9a6a79e,Recurring,Africa,-208
b813243f-aeb2-46c3-b25f-9260602cf1d6,2024-05-25 18:46:05,Pending,Become force another sea. Travel Cloud Equipment,contain,HR,Services,2024-05-25 09:19:12,4e538261-10bf-4196-9a76-aa319a3a79ce,Recurring,Europe,-1
0d6f67ca-2787-4376-9cd7-4c7d155992bc,2024-06-12 06:56:24,Pending,Beyond least fill. Service Equipment,among,HR,Travel,2024-09-13 11:12:31,af379e0a-4433-4131-ba64-71d3d3396a76,Recurring,Africa,93
c2917aa9-8b19-4356-b8dd-5cca271c57e4,2024-05-08 16:52:54,Submitted,Record industry serve even might employee.,task,HR,Services,2024-10-03 11:21:15,c20aca51-bdb0-4c04-b06e-cc4fc9245bd0,Recurring,North America,147
2be5aded-6b11-482f-98bb-d5bed5671446,2024-06-28 18:08:51,Pending,Approach west situation special before environment road.,likely,HR,Assets,2024-09-22 11:53:36,fc50691d-77ec-4fd2-a94f-099652cd95e5,One-time,South America,85
86659eed-1df0-48de-a7b3-edf7a62063d7,2024-10-29 15:49:26,Processed,Kid may describe drug save size lead. Service,task,IT,Travel,2024-10-29 17:55:45,3fb2010b-9029-4183-977a-9ae9d05eb51b,One-time,South America,0
bbc1f96f-3f23-45a1-b00d-fdc207113acb,2024-10-06 02:55:09,Submitted,Amount medical explain ability modern camera win trip.,contain,Product Management,Assets,2024-10-09 14:38:10,a590ec40-eb83-4efc-ace6-be8476c98616,One-time,Africa,3
9ef651d3-7a71-4368-84e7-f6034cdb1ebc,2024-07-04 08:00:06,Pending,Turn top light maybe firm. Asset Equipment,history,HR,Services,2024-05-04 03:08:56,26160c4c-fd61-479f-8e4b-2551d0abe9c5,One-time,Africa,-62
1e61bc85-d511-42ef-b7d0-1eb5a54263b2,2024-10-27 15:24:09,Processed,Commercial concern bank citizen any. Service,year,Sales,Assets,2024-10-29 03:06:15,05052773-3c00-43cf-bc55-daa1364fe4c5,One-time,Africa,1
c2e5c366-c19f-422f-bf09-ef318c41e9fe,2024-10-10 09:29:50,Processed,Economic pass message artist note fall same. Travel,board,Finance,Travel,2024-10-18 10:07:44,162c3ddb-d021-4eeb-9cd5-12abf6bc639a,Recurring,Africa,8
60147f2b-c862-42d6-8206-7549e51026e7,2024-04-13 22:52:31,Processed,Owner cold drug from dog pick. Service,truth,Development,Services,2024-09-16 17:04:35,a41083df-ccda-44ee-8214-130814ff5113,One-time,Africa,155
3f4cdb23-1954-4e43-bd1b-c843bb578965,2024-08-07 16:09:34,Pending,Rule down how agreement professor.,soon,Development,Services,2024-01-11 13:21:43,06060a5c-ddf7-414f-b80b-a6de82a526b7,Recurring,Africa,-210
0b5db0a0-9e56-4a0f-b95a-3ed5b5a6ed4d,2024-04-07 17:16:22,Processed,Join shake wind few open.,history,IT,Travel,2024-06-13 20:12:18,43d4dac8-c322-4612-9599-aa08c8d415c8,One-time,Asia,67
57686ab9-b944-4fc5-a2f7-2207d6b47a90,2024-07-26 04:05:40,Submitted,High kitchen building be edge large wall. Asset Equipment,contain,HR,Assets,2024-04-26 08:25:39,07e0e561-e35a-42c5-9b7e-9d060b331a9d,Recurring,North America,-91
61fdce5a-7913-4aea-aaa2-efb4ab592fd5,2024-04-29 03:12:51,Pending,Baby character sing production door wear oil. Service Cloud Asset Equipment,material,Sales,Services,2024-05-27 05:16:40,7e2fc299-459a-43cc-a886-a3a20f0a5866,Recurring,North America,28
b3d623fa-15d9-4e21-8887-84f7a7e78ccd,2024-04-09 17:39:10,Submitted,For six have campaign.,task,Finance,Services,2024-09-08 07:59:24,4c5e3145-2de1-422d-bb24-0963bb7d2ad3,Recurring,Africa,151
3d61955c-0d34-4222-b174-ce131f0ee6fe,2024-09-14 05:37:49,Pending,Local policy this recent operation.,material,Development,Travel,2024-07-11 18:28:44,395326c3-2a1d-471c-9f57-948a5d9d9329,Recurring,South America,-65
0208003d-4699-45b7-851c-41248043babd,2024-09-10 07:13:00,Pending,Building board finish program wonder break hot. Asset,contain,Sales,Assets,2024-07-01 12:35:12,4b8f8a91-0b63-4f6a-af9f-4d47d8a64b64,One-time,Europe,-71
e03cffbf-cd48-4b39-9217-1293530a5ab5,2024-10-09 21:03:22,Processed,Station market security ever. Asset,board,Finance,Services,2024-10-12 09:46:14,b8fb1459-ac19-4f47-83ec-1356facc140d,One-time,Africa,2
52a84c78-32de-4e34-b056-d2a238aba9f6,2024-08-31 09:37:24,Submitted,Break society population same. Equipment,seat,Finance,Assets,2024-10-05 15:56:12,700ccdf9-f1d0-4d12-b353-e370fb263f99,Recurring,Africa,35
b35e219d-3d3e-4531-8156-8f15f8079691,2024-04-23 07:01:48,Submitted,Tell its anything alone fast three pay full. Asset,contain,Sales,Assets,2024-01-27 14:07:29,ef67e26d-ff6e-4ca1-9ada-0bcd4b1cb0cf,Recurring,South America,-87
be6e9f9b-eef4-4122-ab9b-03769a361073,2024-06-18 10:35:29,Submitted,Spend news politics start. Service Cloud,board,Sales,Assets,2024-10-17 17:16:08,f88096f8-446d-40cd-9ec9-43074d9788c7,One-time,Asia,121
