source_id,number,amount,category,state,processed_date,type,opened_at,short_description,ci
,EXP00000020,3972,Travel,Declined,,,2023-06-25 07:41:00,Automatically generated expense line for purchase of travel equipment,Samsonite Luggage Set
KYE-89926021,EXP00000021,5059,Assets,Processed,2023-11-30 07:21:00.000000000,,2023-11-29 07:21:00,Initiated procurement for IT asset,Dell Optiplex 3080 Mini-Tower
,EXP00000022,4845,Travel,Declined,,,2024-01-15 02:06:00,Automatically generated expense line for travel asset,Business Class Flight Ticket
XBV-40734040,EXP00000023,2120,Assets,Pending,,,2023-11-09 09:52:00,Automated registration of new company asset,Dell Latitude 7410
BWH-09649223,EXP00000024,1668,Services,Submitted,,,2023-07-22 16:03:00,Provision of Cloud Storage Service,Amazon Web Service S3
HAK-05517022,EXP00000025,3157,Assets,Processed,2023-03-11 01:04:00.000000000,,2023-03-10 01:04:00,Dell Latitude E5470 Laptop as New IT Asset,Dell Latitude E5470
NRK-26156082,EXP00000026,1448,Assets,Declined,,,2023-03-14 02:36:00,Implementation of new hardware asset,Dell Latitude E5470
,EXP00000027,795,Travel,Pending,,,2023-06-04 10:59:00,Automatically generated expense line for creation of travel accessory,Premium Leather Travel Case
,EXP00000028,7530,Travel,Processed,2024-03-24 09:38:55.275968732,,2024-03-12 17:14:00,Travel-related asset registration,Airline ticket service
IPW-05837814,EXP00000029,1054,Services,Processed,2024-03-31 08:55:13.802994798,,2024-03-22 00:02:00,Automatic service registration for virtual server asset,Virtual Server Host1
,EXP00000030,2357,Miscellaneous,Processed,2023-08-21 20:56:00.000000000,,2023-08-20 20:56:00,Update for tech miscellaneous asset,Wireless Mouse Model M310
ONF-57253596,EXP00000031,7932,Assets,Processed,2023-02-17 10:57:37.244279476,,2023-02-10 14:50:00,Automatically generated line for creation of IT Asset,Dell Latitude 7410
,EXP00000032,5871,Travel,Processed,2023-10-28 18:22:00.000000000,,2023-10-27 18:22:00,Travel usage booking asset,Booking.com API Service
MZQ-16123656,EXP00000033,2040,Assets,Submitted,,,2024-04-03 01:33:00,HP ProDesk 400 G5 Desktop Mini PC configuration item,HP ProDesk 400 G5
FHL-48223034,EXP00000034,4281,Assets,Declined,,,2023-06-28 10:52:00,Assets management hardware device,Cisco Router 4500
ABZ-52155690,EXP00000035,1193,Services,Submitted,,,2023-09-23 02:55:00,Service-related hardware investment,Cloud Server Unit
YIY-77794183,EXP00000036,5339,Assets,Processed,2023-06-20 01:13:00.000000000,,2023-06-19 01:13:00,Automatically generated asset for global hardware,Dell Latitude 7420
VOL-93328174,EXP00000037,1591,Assets,Processed,2023-10-20 03:32:00.000000000,,2023-10-19 03:32:00,Provision of new Dell OptiPlex 3080,Dell OptiPlex 3080 - Asset ID #3456
,EXP00000038,6989,Travel,Declined,,,2023-12-07 00:43:00,Travel equipment provision,Travel Bag Model 101
GEA-15886144,EXP00000039,1968,Services,Processed,2023-12-24 11:10:25.491431444,,2023-12-13 22:08:00,Automatically generated record for creation of Service assets,Azure Cloud Service
GOE-48410644,EXP00000040,4882,Assets,Processed,2023-08-20 08:43:08.406236330,,2023-08-09 09:34:00,Asset Allocation Entry: HP Spectre Laptop,HP Spectre x360
ALJ-78411900,EXP00000041,1560,Assets,Processed,2024-01-16 19:28:03.414723904,,2024-01-05 13:08:00,Procurement of new company laptops,Dell Latitude 7220
,EXP00000042,2512,Travel,Declined,,,2023-11-09 13:01:00,Automatically generated expense line for purchase of travel equipment,American Tourister Luggage Bag
,EXP00000043,7213,Travel,Declined,,,2023-08-20 10:17:00,Travel equipment asset creation,Standard Luggage Set
RDA-52237316,EXP00000044,3519,Assets,Submitted,,,2024-04-04 11:49:00,Dell laptop purchased for IT department,Dell Latitude 7490
OCQ-81979817,EXP00000045,5435,Assets,Processed,2023-05-02 11:15:53.629680154,,2023-04-22 15:02:00,Asset allocation for new employee,Dell Latitude 7490
HIR-54157434,EXP00000046,1005,Assets,Processed,2023-12-04 08:52:47.277921288,,2023-11-23 13:28:00,Dell Latitude 7490 Laptop added to Assets,Dell Latitude 7490
TYO-50766454,EXP00000047,851,Assets,Processed,2023-05-25 08:07:00.000000000,,2023-05-24 08:07:00,Asset creation for Dell Desktop Computer,Dell OptiPlex 9020
SIY-45953850,EXP00000048,4886,Assets,Processed,2023-06-19 09:55:00.000000000,,2023-06-18 09:55:00,Newly added hardware asset,Dell Latitude 7490
ZJE-30631156,EXP00000049,6452,Assets,Declined,,,2023-04-26 09:59:00,Automated data entry for new hardware asset,Dell Latitude 7400
QJZ-29986137,EXP00000050,1954,Services,Processed,2023-09-29 11:14:13.340433353,,2023-09-13 13:53:00,Automatically created service asset entry,Cloud Storage Service
,EXP00000051,3944,Travel,Processed,2023-06-17 13:00:36.831741213,,2023-06-06 16:26:00,Automatically generated expense line for purchase of travel assets,Business Travel Kit
,EXP00000052,3702,Miscellaneous,Processed,2024-01-16 04:51:39.361551343,,2024-01-14 07:34:00,Miscellaneous Hardware Asset,Raspberry Pi 4
,EXP00000053,3025,Miscellaneous,Processed,2023-06-06 10:47:53.759441330,,2023-05-24 12:36:00,Miscellaneous hardware asset added,Miscellaneous Item 202
UJK-53389430,EXP00000054,4957,Assets,Submitted,,,2024-02-28 20:38:00,Automated data entry for newly acquired asset,Dell Latitude 7420
HQL-13852219,EXP00000055,7860,Assets,Declined,,,2024-03-02 05:50:00,Automated input for hardware asset,Dell Latitude 7400
BEM-88389306,EXP00000056,1895,Services,Processed,2023-11-02 23:44:23.425505299,,2023-10-28 04:46:00,Installation of new software service asset,Microsoft Server 2012
JOI-90814762,EXP00000057,2723,Assets,Processed,2024-04-02 21:00:00.000000000,,2024-04-01 21:00:00,Newly provisioned asset for IT department,Dell OptiPlex 780
SAP-48193038,EXP00000058,5742,Assets,Processed,2024-04-03 09:59:23.172911677,,2024-03-23 12:47:00,Hardware asset addition - Dell Workstation XR400,Dell Workstation XR400
BMB-36027225,EXP00000059,4603,Assets,Processed,2024-02-27 13:53:04.002227751,,2024-02-17 07:37:00,Procurement of new conference room equipment,AV System Samsung 56
,EXP00000060,3281,Travel,Declined,,,2023-09-17 03:22:00,Travel equipment asset,Travel Laptop Dell XPS 13
,EXP00000061,2925,Travel,Declined,,,2023-11-27 07:53:00,Expense for travel category hardware,Portable GPS Navigator
QYS-03626534,EXP00000062,1845,Services,Submitted,,,2023-09-04 02:53:00,Automated service expense for data management,Online Cloud Storage Service
MAY-41538171,EXP00000063,5693,Assets,Processed,2024-01-30 02:40:00.936059566,,2024-01-21 16:09:00,Asset Registration for New Hardware,HP EliteBook 840 G6
TWM-50463712,EXP00000064,6340,Assets,Pending,,,2024-01-15 11:27:00,Asset - Dell Inspiron 15 laptop,Dell Inspiron 15-7580
,EXP00000065,852,Miscellaneous,Pending,,,2023-10-07 19:30:00,Automatically generated asset record for Miscellaneous category,Amazon Echo Dot
LJJ-72725852,EXP00000066,6338,Assets,Processed,2023-05-10 18:59:23.796231746,,2023-05-02 23:07:00,Hardware asset registration for company laptop,Dell Latitude E7470
XPQ-67332584,EXP00000067,7365,Assets,Processed,2024-05-05 22:50:34.277322632,,2024-04-17 04:21:00,Initialization of IT infrastructure asset,Dell Optiplex 7080
,EXP00000068,3288,Miscellaneous,Declined,,,2023-09-15 07:08:00,Miscellaneous hardware asset added,Miscellaneous Device
HDH-77555299,EXP00000069,2545,Assets,Declined,,,2023-04-13 05:32:00,Asset addition according to the recent inventory,Dell Latitude E5470
GUO-44764461,EXP00000070,1753,Services,Submitted,,,2023-11-08 11:10:00,Configuration item for Services Asset,Cloud Server S1
,EXP00000071,6318,Travel,Processed,2024-01-27 02:05:21.148401024,,2024-01-13 20:25:00,Travel Equipment Asset Generated,Trek Carbon Fiber Road Bike
,EXP00000072,6480,Travel,Submitted,,,2023-10-02 11:06:00,Expense for travel kit hardware asset,Travel essentials kit 05
ZPE-07304518,EXP00000073,4014,Assets,Processed,2023-07-03 19:48:58.283999991,,2023-06-30 19:56:00,Automated asset creation for office equipment,Dell Optiplex 7070
,EXP00000074,509,Miscellaneous,Processed,2023-07-29 14:00:36.106580662,,2023-07-23 23:45:00,Manually added asset of category Miscellaneous,SteelSeries Keyboard
,EXP00000075,5347,Travel,Declined,,,2023-02-18 13:31:00,Travel expense incurred for conveyance asset,Car Rental Service
,EXP00000076,2862,Travel,Declined,,,2023-07-22 07:29:00,Travel equipment asset for field work,Garmin GPS Navigator
IXD-87162238,EXP00000077,5539,Assets,Processed,2023-05-03 22:37:31.079367605,,2023-04-18 22:05:00,Provision of new HP Pavilion 15 asset,HP Pavilion 15
,EXP00000078,2821,Miscellaneous,Processed,2023-03-25 03:25:09.046973893,,2023-03-15 00:24:00,Miscellaneous hardware asset added,Dell Optiplex 780
,EXP00000079,5742,Travel,Pending,,,2023-10-26 02:44:00,Automatically generated expense for travel assets,Travel bus model X450
,EXP00000080,3730,Miscellaneous,Processed,2023-07-02 00:10:37.307151237,,2023-06-29 15:08:00,Miscellaneous hardware category related asset,Computer Accessories
UTB-86787704,EXP00000081,6028,Assets,Declined,,,2023-08-31 16:23:00,Automatically generated asset for addition in database,Dell Latitude E7450
IIQ-45601699,EXP00000082,4367,Assets,Processed,2024-02-05 05:56:39.533988061,,2024-01-31 15:15:00,Automatically updated hardware asset entry,Dell Optiplex 780
YVS-43837457,EXP00000083,5835,Assets,Processed,2023-08-22 22:42:17.917560467,,2023-08-19 01:19:00,ServiceNow Asset Registration - Dell Desktop PC,Dell OptiPlex 7480
,EXP00000084,2767,Travel,Submitted,,,2024-03-26 06:23:00,Travel gear item purchased for business trips,Tumi Alpha 3
TWN-69635741,EXP00000085,5893,Assets,Processed,2023-09-08 02:18:40.027559122,,2023-08-31 01:50:00,Purchase of new IT asset for office,Dell Laptop Latitude 7490
KEI-64735588,EXP00000086,7428,Assets,Processed,2023-10-15 14:29:56.773688318,,2023-10-08 08:50:00,Asset Registration for Hardware Component,Dell Optiplex 7090 Desktop PC
MJQ-14784021,EXP00000087,4107,Assets,Processed,2023-03-18 02:59:15.123505561,,2023-03-15 15:50:00,Automatically generated inventory line for adding new asset,Dell Latitude 7390
,EXP00000088,1681,Travel,Declined,,,2023-07-04 23:35:00,Travel-related hardware,Garmin GPS Navigator
WUJ-53502794,EXP00000089,7815,Assets,Processed,2024-03-23 22:39:00.000000000,,2024-03-22 22:39:00,Generated ServiceNow asset for tracking purposes,Dell Precision 5530
LFH-44941857,EXP00000090,6820,Assets,Declined,,,2023-06-21 23:16:00,Auto-generated asset line for Lenovo ThinkPad,Lenovo ThinkPad X1 Carbon
YOP-17698919,EXP00000091,1460,Services,Submitted,,,2023-12-16 09:44:00,Service hardware asset registered,Cloud Storage Service
,EXP00000092,2855,Travel,Processed,2023-09-02 01:31:16.404345855,,2023-08-24 03:34:00,Travel Expense for Software Upgrade,Travel Equipment Upgrade Assets
JBC-17159862,EXP00000093,1477,Assets,Processed,2023-08-09 18:39:43.071227868,,2023-07-29 13:29:00,Lenovo ThinkPad T590 Laptop Asset,Lenovo ThinkPad T590
DIF-39770003,EXP00000094,5844,Assets,Processed,2024-01-30 04:54:00.000000000,,2024-01-29 04:54:00,Automated creation of asset line item,Dell Precision 5540
,EXP00000095,4983,Miscellaneous,Declined,,,2023-10-30 18:18:00,Acknowledgement of Miscellaneous Asset Creation,Miscellaneous Configuration Item 123
IGF-28607375,EXP00000096,1265,Services,Processed,2023-12-24 07:43:00.000000000,,2023-12-23 07:43:00,Procurement of new cloud service,Office365 Subscription
,EXP00000097,7127,Travel,Processed,2023-04-08 08:17:03.114813563,,2023-04-04 03:07:00,Travel equipment asset generation,Travel Luggage Trolley
VOM-00711899,EXP00000098,2148,Assets,Processed,2023-05-15 19:13:00.000000000,,2023-05-14 19:13:00,Newly added asset in inventory,Dell Optiplex 3070
,EXP00000099,5604,Travel,Processed,2023-09-20 03:55:03.784172450,,2023-09-15 00:04:00,Travel related hardware asset,Dell Latitude 7400 14
ZIK-72359520,EXP00000100,7878,Assets,Processed,2024-02-23 21:35:14.534236105,,2024-02-18 11:05:00,Asset registration for new hardware,Dell Precision 7550
KCD-79341157,EXP00000101,1624,Services,Submitted,,,2024-04-03 09:43:00,Service-related hardware asset,Web Server Dell PowerEdge
SFT-82022503,EXP00000102,6043,Assets,Pending,,,2023-09-02 19:35:00,Automatically registered asset upon acquisition,Dell Latitude 7490
KPB-87577632,EXP00000103,1084,Services,Processed,2024-03-19 20:24:43.187548946,,2024-03-06 04:34:00,Automated service entry for voice server,Cisco Voice Server SE23100
JVF-44191594,EXP00000104,2491,Assets,Declined,,,2023-09-30 14:48:00,Automatically generated asset entry for new hardware,Dell Precision Server T3600
RHK-62777771,EXP00000105,6231,Assets,Processed,2023-09-19 00:04:00.000000000,,2023-09-18 00:04:00,Asset creation for Dell Inspiron 15,Dell Inspiron 15
HAN-07416569,EXP00000106,7190,Assets,Submitted,,,2023-07-19 02:11:00,Acquisition of Dell Optiplex 7090,Dell Optiplex 7090
,EXP00000107,6269,Travel,Declined,,,2023-06-13 04:01:00,Automatically generated expense line for creation of travel equipment,Samsonite Luggage 29
,EXP00000108,6982,Travel,Processed,2023-03-20 13:01:00.000000000,,2023-03-19 13:01:00,Expense incurred during corporate travel,Corporate travel booking system
OWL-38945457,EXP00000109,4422,Assets,Declined,,,2023-12-11 23:27:00,Automatically created asset entry,Dell Latitude 7400 Series
,EXP00000110,7609,Travel,Declined,,,2023-04-19 05:14:00,Automatically generated expense line for creation of travel asset,Business Travel Case
ITY-35945596,EXP00000111,2926,Assets,Processed,2023-10-27 11:18:41.341105726,,2023-10-25 09:56:00,HP LaserJet 400 Asset Added,HP LaserJet 400 MFP M425dw
,EXP00000112,6654,Travel,Processed,2023-05-23 21:08:00.000000000,,2023-05-22 21:08:00,Travel related IT asset procurement,Dell Latitude 7400 Travel Laptop
VBW-84895032,EXP00000113,1123,Assets,Submitted,,,2024-03-24 11:58:00,Allocated hardware asset for new hire,Lenovo ThinkPad X1
OTV-96188107,EXP00000114,1297,Services,Processed,2024-01-15 11:06:45.100464158,,2024-01-10 13:44:00,ServiceNow IT Service Management Asset,Cloud Service 365
RDF-70151939,EXP00000115,5602,Assets,Submitted,,,2024-02-27 01:49:00,Apple MacBook Air Asset Allocation,MacBook Air 13
EYK-40754698,EXP00000116,1345,Assets,Pending,,,2023-03-30 15:09:00,ICT hardware asset for office usage,Dell Latitude 7490
MNF-80002560,EXP00000117,5059,Assets,Submitted,,,2024-02-12 05:17:00,Automated data for hardware asset acquisition,Dell Inspiron 15
,EXP00000118,4673,Travel,Processed,2023-10-19 07:14:42.895536373,,2023-10-10 15:50:00,Travel related asset generation,Corporate Travel Kit
WVO-55961129,EXP00000119,3729,Assets,Pending,,,2024-03-28 15:47:00,Automatically generated record for hardware asset registration,Dell Optiplex 5070 Desktop
IKC-96860503,EXP00000120,3762,Assets,Processed,2023-09-10 11:35:00.000000000,,2023-09-09 11:35:00,Asset Registration: Dell Inspiron 15,Dell Inspiron 15 7570
YHC-80094772,EXP00000121,541,Assets,Processed,2023-03-20 09:55:48.626795546,,2023-03-08 20:15:00,Automated asset management for company workstations,Dell Optiplex 3080
LZF-08918147,EXP00000122,1809,Assets,Processed,2023-11-03 00:16:48.483981409,,2023-10-26 23:46:00,Creation of new Dell workstation asset,Dell Optiplex 7010
NME-05827797,EXP00000123,1848,Assets,Processed,2023-08-17 16:14:14.097582769,,2023-07-28 22:46:00,Asset - HP Pavilion Desktop,HP Pavilion 590-p0020
,EXP00000124,3596,Miscellaneous,Processed,2023-10-20 22:57:00.399551304,,2023-10-10 16:51:00,Miscellaneous hardware asset,Dell Optiplex 3060
,EXP00000125,3389,Travel,Declined,,,2024-04-15 18:18:00,Travel related asset allocation,Premium Economy Flight Ticket
YAB-78934823,EXP00000126,7633,Assets,Declined,,,2023-03-29 21:06:00,ServiceNow hardware asset management,Dell Optiplex 7070
LCX-70018028,EXP00000127,6081,Assets,Processed,2023-03-06 15:24:00.000000000,,2023-03-05 15:24:00,Newly procured hardware assets,Dell Optiplex 3090 Desktop
UWR-62518395,EXP00000128,4275,Assets,Pending,,,2023-07-07 12:12:00,ServiceNow hardware asset - Dell OptiPlex 9020,Dell OptiPlex 9020
NXH-39891854,EXP00000129,2742,Assets,Submitted,,,2023-05-19 17:18:00,Acquisition of new office server,Dell PowerEdge R940xa Server
EYO-72515769,EXP00000130,3306,Assets,Processed,2023-11-14 15:01:13.010805758,,2023-11-08 17:36:00,New hardware asset registered: Dell XPS 17,Dell XPS 17
YPR-19959560,EXP00000131,1748,Services,Pending,,,2024-04-22 18:07:00,Provision of IT Consulting Services,IT Consultation Services
HTH-90232852,EXP00000132,7176,Assets,Processed,2023-07-12 07:05:26.763476166,,2023-07-09 22:42:00,Acquisition of new office laptop,Dell Latitude E7470
,EXP00000133,1324,Miscellaneous,Declined,,,2024-02-06 22:20:00,Automatically generated expense line for creation of miscellaneous asset,Gaming Mouse Logitech G502
SQE-36567107,EXP00000134,677,Services,Processed,2023-09-04 23:30:22.243618113,,2023-08-26 01:10:00,Automatically generated asset for creation of service,Cloud Service Provider
,EXP00000135,2060,Miscellaneous,Processed,2023-08-08 15:41:45.547742248,,2023-07-26 18:56:00,Standard Miscellaneous Hardware Asset,VGA to USB Adapter
FQH-36655644,EXP00000136,3405,Assets,Processed,2023-04-14 02:46:00.000000000,,2023-04-13 02:46:00,Newly added asset in IT inventory,Dell WorkStation P500
,EXP00000137,1532,Miscellaneous,Declined,,,2023-06-03 12:35:00,Creation log for miscellaneous hardware asset,Wireless Keyboard Model 3000
XIB-25776493,EXP00000138,7253,Assets,Declined,,,2023-11-08 04:52:00,IT asset management for company laptop,Dell Latitude 7410
WNH-95454816,EXP00000139,4454,Assets,Processed,2024-02-17 13:36:00.000000000,,2024-02-16 13:36:00,Automatically generated asset for IT department,Dell Latitude E5580
GWP-59404171,EXP00000140,1283,Services,Processed,2023-11-06 04:52:34.553052586,,2023-10-28 06:25:00,Newly configured service asset,Cloud Service Provider
SCO-01622761,EXP00000141,246,Services,Processed,2023-05-25 05:22:00.000000000,,2023-05-24 05:22:00,Automated ServiceNow asset for configuration services,Dell PowerEdge R640 Server
,EXP00000142,4509,Miscellaneous,Declined,,,2024-03-28 06:54:00,Automatically generated asset for Miscellaneous equipment,Dell S2721DGF Gaming Monitor
PRJ-99666619,EXP00000143,2474,Assets,Declined,,,2024-01-09 02:46:00,Annual depreciation of Dell Latitude E5470,Dell Latitude E5470
,EXP00000144,3372,Miscellaneous,Pending,,,2024-03-28 05:07:00,Miscellaneous Hardware Asset Allocation,Miscellaneous Asset - XYZ123
,EXP00000145,7357,Travel,Declined,,,2023-03-17 16:09:00,Travel related hardware asset,Travel Adapter Kit
ANY-93624267,EXP00000146,7529,Assets,Processed,2024-04-23 04:32:09.317024450,,2024-04-20 00:18:00,Database server hardware asset,Oracle Database Server X7-2
GVS-69189771,EXP00000147,5148,Assets,Pending,,,2023-04-04 15:07:00,Newly under Asset Management - Dell Optiplex 3090,Dell Optiplex 3090
NVS-71972862,EXP00000148,7948,Assets,Declined,,,2023-07-29 19:26:00,Replacement of faulty hardware asset,Dell Optiplex 780
QMW-71384068,EXP00000149,3266,Assets,Declined,,,2023-12-10 00:41:00,Addition of new IT hardware asset,HP EliteBook 840 G3
,EXP00000150,2242,Miscellaneous,Declined,,,2024-03-26 22:03:00,Maintenance service for various hardware equipment,Miscellaneous Hardware Asset 123
,EXP00000151,6089,Travel,Pending,,,2024-02-16 15:38:00,Airline tickets and accommodation for business travel,Business Trip Expenses
OTZ-33598141,EXP00000152,2966,Assets,Declined,,,2023-12-23 07:27:00,HP Pavilion Desktop newly added to the asset list,HP Pavilion 590-p0020
XQL-19878591,EXP00000153,5119,Assets,Processed,2023-09-02 07:27:06.797494129,,2023-08-19 14:14:00,Automatically generated entry for new asset,Dell Latitude 7490
PUU-17999508,EXP00000154,6258,Assets,Processed,2023-05-04 04:56:08.883328135,,2023-04-22 00:49:00,Automatically generated asset line for Dell Inspiron Desktop,Dell Inspiron 7890 Desktop
,EXP00000155,2811,Travel,Processed,2023-08-24 08:43:00.000000000,,2023-08-23 08:43:00,Travel kit including laptop and accessories,Dell Latitude 3520
,EXP00000156,7722,Travel,Processed,2024-01-16 01:27:01.539691933,,2024-01-08 03:07:00,Travel category hardware,Traveler's Laptop
,EXP00000157,4804,Travel,Processed,2024-04-01 16:34:41.845644052,,2024-03-20 21:23:00,Travel equipment asset creation,Travel Briefcase 001
,EXP00000158,857,Miscellaneous,Processed,2023-10-18 02:58:29.009388958,,2023-10-06 23:44:00,Automatically generated asset registration for Miscellaneous item,Stationery Kit A1
GHN-21043707,EXP00000159,6870,Assets,Pending,,,2024-03-02 13:54:00,New purchase - Dell Precision 3420,Dell Precision 3420
DGW-02838911,EXP00000160,4095,Assets,Processed,2023-02-10 06:37:43.345712683,,2023-02-02 12:24:00,Newly procured office asset,Dell Optiplex 780 Desktop
CLI-10666395,EXP00000161,1552,Assets,Processed,2023-07-31 22:18:30.416428699,,2023-07-23 06:09:00,Automated asset registry for new hardware,Dell Inspiron 7490
HVX-91710262,EXP00000162,1675,Assets,Processed,2023-03-22 01:58:42.079411466,,2023-03-13 13:40:00,Automatically generated entry for creation of asset,Dell Latitude 3500
LOV-78401003,EXP00000163,5715,Assets,Processed,2023-03-22 18:59:22.314323836,,2023-03-12 04:10:00,New asset addition: High-performance Workstation,Dell Precision T3600 Workstation
,EXP00000164,4246,Travel,Submitted,,,2023-10-24 11:52:00,Travel-related hardware asset,Dell Latitude 14 Travel Laptop
FAE-49651282,EXP00000165,6425,Assets,Processed,2023-04-26 23:30:16.168519091,,2023-04-19 18:16:00,Purchased new office desktop,Dell Optiplex 3080
,EXP00000166,6448,Travel,Processed,2024-03-18 15:09:12.132788744,,2024-03-05 02:04:00,Automatically generated expense line for creation of travel equipment,Travel suitcase
,EXP00000167,205,Miscellaneous,Processed,2024-03-19 00:35:28.337951583,,2024-03-17 08:51:00,Generated asset entry for Miscellaneous item,Misc Desktop PC 123
MFB-04409454,EXP00000168,5809,Assets,Processed,2023-08-14 00:42:32.988106662,,2023-07-27 10:27:00,Processing unit Lenovo ThinkPad X1,Lenovo_ThinkPad_X1_id12345
TEH-62497676,EXP00000169,5236,Assets,Pending,,,2023-05-17 13:06:00,Automatically logged hardware asset entry,Dell Latitude E6440
AOQ-15256031,EXP00000170,1013,Services,Processed,2023-08-29 13:26:00.000000000,,2023-08-28 13:26:00,Automatically generated expense line for creation of Service Server,Windows Server 2019
BTE-22458897,EXP00000171,6869,Assets,Processed,2024-01-09 12:04:20.448614237,,2024-01-02 15:11:00,Asset register entry for new server hardware,Dell PowerEdge R740
,EXP00000172,6832,Travel,Declined,,,2023-12-22 05:32:00,Travel category asset registration,VIP Travel Kit
SQD-40300537,EXP00000173,7440,Assets,Declined,,,2023-08-11 11:28:00,Asset registration for new hardware,Dell Latitude 7490
FWF-07491039,EXP00000174,7335,Assets,Submitted,,,2024-02-18 14:56:00,Provision of new hardware asset,Dell Optiplex 780 Desktop
IAE-50216633,EXP00000175,1704,Assets,Pending,,,2023-08-27 17:09:00,Procurement of new hardware asset,HP EliteBook 840 G6
XHK-85710881,EXP00000176,1055,Services,Declined,,,2024-01-09 01:14:00,Automated service record for asset creation,Cloud Networking Service
,EXP00000177,2247,Miscellaneous,Declined,,,2023-07-31 11:53:00,Miscellaneous hardware asset addition,Desktop PC i7
,EXP00000178,645,Travel,Processed,2024-01-27 03:46:38.926068721,,2024-01-14 19:39:00,Travel-related asset registration,International travel adapter
,EXP00000179,1933,Travel,Pending,,,2023-05-24 13:10:00,Automatically generated expense line for creation of travel equipment,Luggage Trolley
WRQ-38703807,EXP00000180,740,Services,Pending,,,2023-08-24 00:06:00,Automatically generated expense line for creation of Service asset,Cloud Based Data Services
,EXP00000181,1851,Miscellaneous,Declined,,,2024-02-15 03:01:00,Generated asset for Miscellaneous category,MacBook Air 13
MBI-87095217,EXP00000182,6443,Assets,Declined,,,2023-04-17 16:13:00,Automated entry for new hardware asset,Dell Latitude 7490
,EXP00000183,3499,Miscellaneous,Declined,,,2024-02-12 07:29:00,Miscellaneous hardware asset added to inventory,Cisco Router Model 1000
DQC-34081327,EXP00000184,1535,Assets,Declined,,,2023-02-03 10:16:00,Asset creation for new hardware,Dell Latitude 7410
IDE-02973272,EXP00000185,4628,Assets,Declined,,,2023-11-21 09:02:00,Automated entry for new hardware asset,Dell OptiPlex 7460 All In One
,EXP00000186,540,Miscellaneous,Processed,2024-01-11 06:46:00.000000000,,2024-01-10 06:46:00,Automatically created entry for Miscellaneous hardware asset,Dell OptiPlex 790
